model,split,period,rows,days,rank_ic_mean,icir,long_short_ret,direction_hit_rate
blend,all,2024Q2,560,30,0.13942552459580324,0.4491979769183296,0.01655869774106371,0.5392857142857143
blend,all,2024Q3,1197,63,-0.05100176684606559,-0.15959065556627147,-0.016877719325968318,0.46950710108604843
blend,all,2024Q4,1159,61,0.07282139775668679,0.2760663545475076,0.012348693988271247,0.5099223468507333
blend,all,2025Q1,1083,57,0.1831352304820447,0.7338545100484651,0.02066466354244554,0.554016620498615
blend,all,2025Q2,1140,60,0.009152046783625732,0.032385469273608546,0.0061199506415048925,0.49298245614035086
blend,all,2025Q3,1254,66,0.00022403621108966454,0.0009389295195194358,-0.000991667269355521,0.45454545454545453
blend,all,2025Q4,1140,60,0.015614035087719294,0.05999118538780912,0.0039093292542129714,0.4280701754385965
blend,all,2026Q1,969,51,0.04815961472308221,0.15929025018154536,0.010532149482312634,0.5036119711042312
blend,test,2025Q2,874,46,-0.009534706331045006,-0.03368432094542684,0.0008085186436514617,0.4988558352402746
blend,test,2025Q3,1254,66,0.00022403621108966454,0.0009389295195194358,-0.000991667269355521,0.45454545454545453
blend,test,2025Q4,1140,60,0.015614035087719294,0.05999118538780912,0.0039093292542129714,0.4280701754385965
blend,test,2026Q1,969,51,0.04815961472308221,0.15929025018154536,0.010532149482312634,0.5036119711042312
blend,val,2024Q2,560,30,0.13942552459580324,0.4491979769183296,0.01655869774106371,0.5392857142857143
blend,val,2024Q3,1197,63,-0.05100176684606559,-0.15959065556627147,-0.016877719325968318,0.46950710108604843
blend,val,2024Q4,1159,61,0.07282139775668679,0.2760663545475076,0.012348693988271247,0.5099223468507333
blend,val,2025Q1,1083,57,0.1831352304820447,0.7338545100484651,0.02066466354244554,0.554016620498615
blend,val,2025Q2,266,14,0.07055137844611528,0.24974654304417027,0.023571798634451878,0.47368421052631576
ridge,all,2024Q2,560,30,0.1568765049879601,0.4543593847603618,0.018278548666387066,0.5392857142857143
ridge,all,2024Q3,1197,63,-0.05576373271702807,-0.18025920470349424,-0.011788166958412364,0.47451963241436923
ridge,all,2024Q4,1159,61,0.1138337647397182,0.4058899214511896,0.01571958596381204,0.5202761000862812
ridge,all,2025Q1,1083,57,0.20621936440269786,0.7793940445491484,0.020871260974761892,0.5706371191135734
ridge,all,2025Q2,1140,60,0.01853801169590643,0.06558590463028054,0.0059335732041721646,0.4982456140350877
ridge,all,2025Q3,1254,66,0.005407052635901205,0.0232961107527278,-0.0005858562824067876,0.45773524720893144
ridge,all,2025Q4,1140,60,0.0037719298245614042,0.013216707591444497,-0.01676962055758652,0.47719298245614034
ridge,all,2026Q1,969,51,0.01255589955280358,0.04348870034489282,-0.0007730021995548936,0.48813209494324045
ridge,test,2025Q2,874,46,0.013196033562166285,0.04678895579712246,0.003924573277444095,0.4988558352402746
ridge,test,2025Q3,1254,66,0.005407052635901205,0.0232961107527278,-0.0005858562824067876,0.45773524720893144
ridge,test,2025Q4,1140,60,0.0037719298245614042,0.013216707591444497,-0.01676962055758652,0.47719298245614034
ridge,test,2026Q1,969,51,0.01255589955280358,0.04348870034489282,-0.0007730021995548936,0.48813209494324045
ridge,val,2024Q2,560,30,0.1568765049879601,0.4543593847603618,0.018278548666387066,0.5392857142857143
ridge,val,2024Q3,1197,63,-0.05576373271702807,-0.18025920470349424,-0.011788166958412364,0.47451963241436923
ridge,val,2024Q4,1159,61,0.1138337647397182,0.4058899214511896,0.01571958596381204,0.5202761000862812
ridge,val,2025Q1,1083,57,0.20621936440269786,0.7793940445491484,0.020871260974761892,0.5706371191135734
ridge,val,2025Q2,266,14,0.03609022556390978,0.12248713781736764,0.012534572963421527,0.49624060150375937
tree,all,2024Q2,560,30,-0.04207790085005117,-0.17755829028671882,-0.009560251970685697,0.49642857142857144
tree,all,2024Q3,1197,63,-0.003432253071076593,-0.012663628857326062,-0.023338910663232054,0.5012531328320802
tree,all,2024Q4,1159,61,0.09028470608575889,0.30305329513026996,-0.010152763951380138,0.48921484037963764
tree,all,2025Q1,1083,57,0.03832029300427327,0.1483428137149793,-0.0027463044464562567,0.49584487534626037
tree,all,2025Q2,1140,60,0.016320943878895218,0.05609195878335036,-0.004927167107244814,0.49298245614035086
tree,all,2025Q3,1254,66,-0.002928076821599324,-0.011609755272441758,-0.004532004034568581,0.4409888357256778
tree,all,2025Q4,1140,60,0.045742607472048995,0.18410403165878095,0.02439088138486647,0.4456140350877193
tree,all,2026Q1,969,51,0.09452555215066996,0.3232632560246418,0.0192735564924231,0.4871001031991744
tree,test,2025Q2,874,46,-0.013840952662905555,-0.04741487285735874,-0.010716803838993842,0.5
tree,test,2025Q3,1254,66,-0.002928076821599324,-0.011609755272441758,-0.004532004034568581,0.4409888357256778
tree,test,2025Q4,1140,60,0.045742607472048995,0.18410403165878095,0.02439088138486647,0.4456140350877193
tree,test,2026Q1,969,51,0.09452555215066996,0.3232632560246418,0.0192735564924231,0.4871001031991744
tree,val,2024Q2,560,30,-0.04207790085005117,-0.17755829028671882,-0.009560251970685697,0.49642857142857144
tree,val,2024Q3,1197,63,-0.003432253071076593,-0.012663628857326062,-0.023338910663232054,0.5012531328320802
tree,val,2024Q4,1159,61,0.09028470608575889,0.30305329513026996,-0.010152763951380138,0.48921484037963764
tree,val,2025Q1,1083,57,0.03832029300427327,0.1483428137149793,-0.0027463044464562567,0.49584487534626037
tree,val,2025Q2,266,14,0.11542431823052636,0.42014474556851505,0.012028197607163055,0.4699248120300752
