date,stock_code,split,label_excess_ret_5d,pred_lstm,fit_start_date,fit_end_date,train_samples,val_samples,best_epoch,trained_epochs,best_score
2024-05-17,600025,val,0.058967113,0.0017907172,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,600051,val,-0.018087361,8.279085e-05,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,600127,val,0.014376506,0.01049567,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,600153,val,-0.060891952,-0.02912917,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,600548,val,0.06501265,0.0015487373,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,600865,val,-0.051529437,-0.017825246,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,600967,val,4.4893873e-06,0.010070816,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,601222,val,0.025008403,0.0027381703,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,603237,val,0.0058543044,-0.0008619875,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,603335,val,-0.014443117,0.0020749196,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,603658,val,0.006401849,0.012996629,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,605090,val,0.013240861,0.0073709935,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,605589,val,-0.050172966,0.0107109025,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,688031,val,0.0046371617,0.004390076,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,688045,val,-0.019618645,-0.0046928525,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,688133,val,-0.034336742,0.0013059154,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,688147,val,-0.0077167824,-0.00043032318,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-17,688528,val,0.030348754,-0.0042328537,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,600025,val,0.050708167,0.0017654449,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,600051,val,-0.0073102284,-0.0044164285,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,600127,val,-0.02451783,0.009312384,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,600153,val,-0.021034857,-0.022911564,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,600548,val,0.072479,0.0037868097,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,600865,val,-0.0061404784,-0.012982599,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,600967,val,-0.019992087,0.006845914,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,601222,val,0.034076422,0.0066593066,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,603237,val,0.015883299,-0.00049661845,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,603335,val,-0.029349763,0.0073033795,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,603658,val,-0.013181648,0.012696922,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,605090,val,-0.003250144,0.006183587,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,605589,val,-0.004639289,0.009167068,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,688031,val,-0.030744199,0.0047675,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,688045,val,0.038331192,0.0024449304,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,688133,val,-0.04538062,0.002425976,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,688147,val,-0.0002270487,0.0009194687,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-20,688528,val,-0.012110372,-0.0055014417,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,600025,val,0.061884034,0.0022595525,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,600051,val,-0.00051258464,-0.0018230975,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,600127,val,-0.03460032,0.009534314,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,600153,val,-0.028394058,-0.014977068,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,600548,val,0.0560842,0.0012707338,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,600865,val,-0.020163864,-0.017095827,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,600967,val,-0.023931058,0.0059209988,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,601222,val,0.05104727,0.008586243,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,603237,val,0.005162641,-0.0013714656,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,603335,val,-0.023714416,0.013166316,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,603658,val,-0.01761104,0.012658499,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,605090,val,0.055033058,0.0046798363,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,605589,val,0.03678094,0.009047054,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,688031,val,-0.05594709,0.004418306,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,688045,val,0.022967787,0.005135134,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,688133,val,-0.0248832,0.0042797253,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,688147,val,0.016659077,0.0002574101,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-21,688528,val,-0.015208337,-0.004326567,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-22,600025,val,0.07669982,0.0029342473,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
2024-05-22,600051,val,-0.015404611,0.0017026439,2020-05-08,2024-05-16,12666,1080,4,8,0.0012511479668319224
