pred_start_date,pred_end_date,fit_start_date,fit_end_date,train_days,pred_days,train_samples,val_samples,best_epoch,trained_epochs,best_score
2024-05-17,2024-07-12,2020-05-08,2024-05-16,964,40,12666,1080,4,8,0.0012511479668319224
2024-07-15,2024-09-06,2020-05-08,2024-07-12,1004,40,13386,1091,1,5,0.0011197623214684426
2024-09-09,2024-11-13,2020-05-08,2024-09-06,1044,40,14106,1131,1,5,0.0007778383791446686
2024-11-14,2025-01-09,2020-05-08,2024-11-13,1084,40,14857,1140,1,5,0.0029585906770080326
2025-01-10,2025-03-14,2020-05-08,2025-01-09,1124,40,15617,1140,1,5,0.0019592341966927053
2025-03-17,2025-05-15,2020-05-08,2025-03-14,1164,40,16377,1140,1,5,0.0014191115857101976
2025-05-16,2025-07-11,2020-05-08,2025-05-15,1204,40,17137,1140,2,6,0.0014189753565005958
2025-07-14,2025-09-05,2020-05-08,2025-07-11,1244,40,17897,1140,1,5,0.0011166315409354866
2025-09-08,2025-11-10,2020-05-08,2025-09-05,1284,40,18657,1140,2,6,0.0012174783507362009
2025-11-11,2026-01-07,2020-05-08,2025-11-10,1324,40,19417,1140,1,5,0.0013832858065143227
2026-01-08,2026-03-12,2020-05-08,2026-01-07,1364,40,20177,1140,1,5,0.0029073488432914017
2026-03-13,2026-03-24,2020-05-08,2026-03-12,1404,8,20937,1140,1,5,0.003165825305040926
