pred_start_date,pred_end_date,fit_start_date,fit_end_date,train_days,pred_days,train_samples,val_samples,best_epoch,trained_epochs,best_score
2024-05-17,2024-06-14,2021-03-26,2024-05-16,750,20,10769,720,4,8,0.0012479972986814876
2024-06-17,2024-07-12,2021-04-26,2024-06-14,750,20,10889,720,1,5,0.0013712645935205121
2024-07-15,2024-08-09,2021-05-27,2024-07-12,750,20,11009,731,2,6,0.0010685782957201202
2024-08-12,2024-09-06,2021-06-25,2024-08-09,750,20,11129,751,1,5,0.0006573708378709853
2024-09-09,2024-10-16,2021-07-23,2024-09-06,750,20,11260,760,1,5,0.0008200416341423988
2024-10-17,2024-11-13,2021-08-20,2024-10-16,750,20,11400,760,1,5,0.002642726215223471
2024-11-14,2024-12-11,2021-09-17,2024-11-13,750,20,11537,760,1,5,0.003487867691243688
2024-12-12,2025-01-09,2021-10-26,2024-12-11,750,20,11657,760,4,8,0.0021417311897190907
2025-01-10,2025-02-14,2021-11-23,2025-01-09,750,20,11777,760,3,7,0.0016512830431262653
2025-02-17,2025-03-14,2021-12-21,2025-02-14,750,20,11888,760,1,5,0.001651991546774904
2025-03-17,2025-04-14,2022-01-26,2025-03-14,750,20,11997,760,1,5,0.0013278557259278994
2025-04-15,2025-05-15,2022-03-02,2025-04-14,750,20,12097,760,1,5,0.0013804529832365613
2025-05-16,2025-06-13,2022-03-30,2025-05-15,750,20,12197,760,4,8,0.0016740016095961134
2025-06-16,2025-07-11,2022-04-29,2025-06-13,750,20,12297,760,2,6,0.00116196385351941
2025-07-14,2025-08-08,2022-06-01,2025-07-11,750,20,12397,760,1,5,0.0008618443389423192
2025-08-11,2025-09-05,2022-06-30,2025-08-08,750,20,12497,760,1,5,0.0010254319640807807
2025-09-08,2025-10-13,2022-08-01,2025-09-05,750,20,12597,760,2,6,0.001263959410910805
2025-10-14,2025-11-10,2022-08-29,2025-10-13,750,20,12697,760,2,6,0.0013973598834127188
2025-11-11,2025-12-08,2022-09-27,2025-11-10,750,20,12790,760,1,5,0.0011465846910141408
2025-12-09,2026-01-07,2022-11-03,2025-12-08,750,20,12870,760,6,10,0.0012562220799736679
2026-01-08,2026-02-04,2022-12-01,2026-01-07,750,20,12950,760,4,8,0.003906631182568769
2026-02-05,2026-03-12,2022-12-29,2026-02-04,750,20,13029,760,9,10,0.003840440729012092
2026-03-13,2026-03-24,2023-02-03,2026-03-12,750,8,13089,760,2,6,0.0018885315706332524
