stock_code,industry,source,note,updated_at
000001,金融银行,manual_scheme_a,core_symbol,2026-03-31
600036,金融银行,manual_scheme_a,core_symbol,2026-03-31
600519,必选消费,manual_scheme_a,core_symbol,2026-03-31
000858,必选消费,manual_scheme_a,core_symbol,2026-03-31
300750,新能源,manual_scheme_a,core_symbol,2026-03-31
002594,新能源,manual_scheme_a,core_symbol,2026-03-31
600276,医药健康,manual_scheme_a,core_symbol,2026-03-31
300760,医药健康,manual_scheme_a,core_symbol,2026-03-31
603986,TMT科技,manual_scheme_a,core_symbol,2026-03-31
688981,TMT科技,manual_scheme_a,core_symbol,2026-03-31
600051,消费服务,manual_scheme_a,stage2_symbols,2026-03-31
605090,周期公用,manual_scheme_a,stage2_symbols,2026-03-31
600025,周期公用,manual_scheme_a,stage2_symbols,2026-03-31
601222,周期公用,manual_scheme_a,stage2_symbols,2026-03-31
688031,TMT科技,manual_scheme_a,stage2_symbols,2026-03-31
603335,工业制造,manual_scheme_a,stage2_symbols,2026-03-31
688045,TMT科技,manual_scheme_a,stage2_symbols,2026-03-31
603341,TMT科技,manual_scheme_a,stage2_symbols,2026-03-31
600967,工业制造,manual_scheme_a,stage2_symbols,2026-03-31
603237,消费服务,manual_scheme_a,stage2_symbols,2026-03-31
688528,TMT科技,manual_scheme_a,stage2_symbols,2026-03-31
688133,工业制造,manual_scheme_a,stage2_symbols,2026-03-31
603658,医药健康,manual_scheme_a,stage2_symbols,2026-03-31
600865,消费服务,manual_scheme_a,stage2_symbols,2026-03-31
688147,TMT科技,manual_scheme_a,stage2_symbols,2026-03-31
605589,工业制造,manual_scheme_a,stage2_symbols,2026-03-31
600153,消费服务,manual_scheme_a,stage2_symbols,2026-03-31
600548,周期公用,manual_scheme_a,stage2_symbols,2026-03-31
688805,TMT科技,manual_scheme_a,stage2_symbols,2026-03-31
600127,消费服务,manual_scheme_a,stage2_symbols,2026-03-31
