date,action,price,shares,cost,cash_after,revenue
2024-03-22,BUY,8.8,11300,99469.83,530.17,
2024-03-26,SELL,9.04,11300,,102651.52,102121.35
2024-03-27,BUY,8.97,11400,102288.68,362.84,
2024-04-11,SELL,8.69,11400,,99399.13,99036.28
2024-04-22,BUY,8.94,11100,99263.77,135.35,
2024-06-05,SELL,9.31,11100,,103445.35,103310.0
2024-07-02,BUY,9.56,10800,103278.97,166.38,
2024-07-10,SELL,9.3,10800,,100576.25,100409.87
2024-07-16,BUY,9.46,10600,100306.08,270.16,
2024-07-26,SELL,9.19,10600,,97654.94,97384.78
2024-08-21,BUY,9.51,10200,97031.1,623.84,
2024-09-04,SELL,9.18,10200,,94231.75,93607.91
2024-09-26,BUY,10.31,9100,93849.15,382.6,
2024-10-30,SELL,10.72,9100,,97905.34,97522.73
2024-11-14,BUY,10.94,8900,97395.21,510.13,
2024-11-15,SELL,10.84,8900,,96957.18,96447.06
2024-11-21,BUY,10.99,8800,96741.01,216.17,
2024-11-26,SELL,10.67,8800,,94084.0,93867.83
2024-12-09,BUY,11.07,8400,93015.9,1068.1,
