date,action,price,shares,cost,cash_after,revenue
2018-02-06,BUY,48.86,2000,97749.32,2250.68,
2018-04-25,SELL,44.76,2000,,91743.83,89493.14
2018-06-29,BUY,48.42,1800,87182.15,4561.68,
2018-09-25,SELL,39.02,1800,,74776.61,70214.93
2018-10-30,BUY,21.21,3500,74257.27,519.34,
2018-12-03,SELL,28.81,3500,,101324.09,100804.75
2019-01-04,BUY,23.26,4300,100048.01,1276.08,
2019-01-21,SELL,29.72,4300,,129033.75,127757.66
2019-05-07,BUY,69.68,1800,125461.63,3572.12,
2019-05-16,SELL,83.7,1800,,154186.92,150614.8
2019-08-06,BUY,96.7,1500,145093.51,9093.4,
2019-08-15,SELL,101.4,1500,,161147.77,152054.37
2019-10-21,BUY,103.54,1500,155356.59,5791.18,
2019-12-31,SELL,108.43,1500,,168387.39,162596.21
2020-02-04,BUY,89.92,1800,161904.56,6482.83,
2020-03-06,SELL,105.49,1800,,196307.87,189825.04
2020-03-17,BUY,87.78,2200,193173.93,3133.93,
2020-04-29,SELL,110.92,2200,,247084.73,243950.79
2021-03-09,BUY,220.12,1100,242204.64,4880.09,
2021-04-06,SELL,262.38,1100,,293411.5,288531.41
2021-07-06,BUY,254.87,1100,280441.11,12970.39,
2021-09-28,SELL,197.14,1100,,229759.34,216788.94
2021-11-02,BUY,181.52,1200,217889.35,11869.99,
2021-11-25,SELL,203.15,1200,,255576.86,243706.87
2022-02-07,BUY,175.82,1400,246221.84,9355.01,
2022-05-31,SELL,151.6,1400,,221531.34,212176.33
2022-08-01,BUY,161.81,1300,210416.11,11115.23,
2022-09-28,SELL,152.83,1300,,209734.63,198619.4
2022-10-25,BUY,125.35,1600,200620.17,9114.46,
2022-12-02,SELL,146.29,1600,,243108.24,233993.78
2023-03-13,BUY,181.83,1300,236449.91,6658.33,
2023-05-23,SELL,157.23,1300,,210996.01,204337.68
2023-05-31,BUY,144.41,1400,202234.65,8761.36,
2023-06-15,SELL,165.23,1400,,240013.96,231252.6
2023-08-21,BUY,148.98,1600,238439.51,1574.45,
2024-02-07,SELL,120.88,1600,,194924.43,193349.98
2024-04-11,BUY,129.35,1500,194083.21,841.22,
2024-07-18,SELL,122.78,1500,,184955.97,184114.75
2024-08-23,BUY,112.79,1600,180518.14,4437.83,
2024-09-27,SELL,139.42,1600,,227442.91,223005.08
