date,action,price,shares,cost,cash_after,revenue
2018-01-04,BUY,55.41,1800,99767.92,232.08,
2018-01-26,SELL,59.26,1800,,106868.08,106636.0
2018-02-26,BUY,50.94,2000,101910.56,4957.51,
2018-03-02,SELL,45.84,2000,,96610.01,91652.5
2018-03-09,BUY,49.52,1900,94116.23,2493.78,
2018-03-26,SELL,42.41,1900,,83048.61,80554.83
2018-04-11,BUY,42.73,1900,81211.36,1837.25,
2018-05-25,SELL,46.72,1900,,90578.62,88741.37
2018-06-05,BUY,55.22,1600,88378.51,2200.12,
2018-06-20,SELL,54.48,1600,,89341.97,87141.85
2018-07-16,BUY,49.14,1800,88478.54,863.43,
2018-08-02,SELL,41.64,1800,,75792.95,74929.51
2018-08-24,BUY,36.68,2000,73382.01,2410.94,
2018-10-12,SELL,33.93,2000,,70250.58,67839.64
2018-11-13,BUY,24.97,2800,69936.97,313.61,
2018-12-24,SELL,24.68,2800,,69396.87,69083.27
2019-01-14,BUY,23.31,2900,67619.28,1777.59,
2019-03-11,SELL,49.72,2900,,145922.34,144144.74
2019-03-19,BUY,59.72,2400,143371.0,2551.34,
2019-04-16,SELL,75.93,2400,,184728.67,182177.33
2019-05-16,BUY,83.7,2200,184195.24,533.43,
2019-05-23,SELL,73.55,2200,,162294.89,161761.46
2019-06-12,BUY,83.03,1900,157804.33,4490.56,
2019-07-15,SELL,100.51,1900,,195402.27,190911.71
2019-08-15,BUY,101.4,1900,192717.8,2684.47,
2019-09-12,SELL,106.97,1900,,205866.5,203182.03
2019-10-31,BUY,107.5,1900,204311.27,1555.22,
2019-11-25,SELL,104.12,1900,,199323.87,197768.65
2019-12-11,BUY,104.24,1900,198115.42,1208.46,
2019-12-13,SELL,104.94,1900,,200534.64,199326.18
2019-12-16,BUY,104.25,1900,198134.42,2400.22,
2019-12-26,SELL,103.57,1900,,199124.18,196723.97
2019-12-30,BUY,108.24,1800,194890.45,4233.73,
2020-01-23,SELL,101.58,1800,,187022.88,182789.15
2020-02-18,BUY,98.81,1800,177911.36,9111.52,
2020-03-03,SELL,99.79,1800,,188679.64,179568.11
2020-03-04,BUY,100.69,1800,181296.37,7383.26,
2020-03-17,SELL,87.78,1800,,165339.86,157956.6
2020-03-31,BUY,90.62,1800,163164.93,2174.93,
2020-05-26,SELL,123.23,1800,,223922.38,221747.46
2020-06-03,BUY,133.66,1600,213920.16,10002.23,
2020-06-16,SELL,133.1,1600,,222898.34,212896.11
2020-06-24,BUY,146.23,1500,219410.8,3487.54,
2020-07-21,SELL,183.2,1500,,278205.1,274717.56
2020-08-26,BUY,214.27,1200,257201.14,21003.96,
2020-09-07,SELL,204.51,1200,,266342.33,245338.38
2020-10-13,BUY,219.89,1200,263947.16,2395.17,
2020-10-28,SELL,217.6,1200,,263436.84,261041.66
2020-10-30,BUY,221.97,1100,244240.25,19196.59,
2020-11-20,SELL,246.09,1100,,289814.38,270617.79
2020-12-17,BUY,255.43,1100,281057.29,8757.09,
2020-12-28,SELL,263.57,1100,,298597.11,289840.02
2020-12-29,BUY,258.62,1100,284567.34,14029.76,
2021-01-15,SELL,265.32,1100,,305794.21,291764.44
2021-02-05,BUY,297.38,1000,297469.21,8324.99,
2021-02-25,SELL,266.52,1000,,274765.04,266440.04
2021-03-22,BUY,237.12,1100,260910.25,13854.79,
2021-04-16,SELL,239.42,1100,,277137.78,263282.99
2021-04-21,BUY,248.47,1100,273399.0,3738.78,
2021-05-11,SELL,253.07,1100,,282032.27,278293.49
2021-05-17,BUY,274.81,1000,274892.44,7139.83,
2021-06-08,SELL,275.57,1000,,282627.16,275487.33
2021-07-20,BUY,262.5,1000,262578.75,20048.41,
2021-07-27,SELL,211.35,1000,,231335.0,211286.6
2021-08-11,BUY,226.4,1000,226467.92,4867.08,
2021-08-23,SELL,186.24,1000,,191051.21,186184.13
2021-09-06,BUY,191.66,900,172545.75,18505.46,
2021-10-26,SELL,200.86,900,,199225.23,180719.77
2021-11-18,BUY,188.82,1000,188876.65,10348.58,
2021-12-21,SELL,211.85,1000,,222135.03,211786.45
2022-01-25,BUY,188.56,1100,207478.22,14656.8,
2022-01-26,SELL,186.25,1100,,219470.34,204813.54
2022-02-17,BUY,177.64,1200,213231.95,6238.39,
2022-03-04,SELL,156.57,1200,,194066.03,187827.63
2022-03-22,BUY,144.5,1300,187906.35,6159.67,
2022-03-29,SELL,129.38,1300,,174303.21,168143.54
2022-04-01,BUY,140.1,1200,168170.44,6132.78,
2022-05-10,SELL,135.53,1200,,168719.99,162587.21
2022-05-23,BUY,139.63,1200,167606.27,1113.72,
2022-07-11,SELL,172.61,1200,,208183.58,207069.86
2022-09-14,BUY,145.63,1400,203943.16,4240.42,
2022-10-13,SELL,136.8,1400,,195702.96,191462.54
2022-11-07,BUY,134.37,1400,188174.44,7528.52,
2022-12-22,SELL,162.73,1400,,235282.18,227753.65
2023-01-09,BUY,179.11,1300,232912.85,2369.32,
2023-02-07,SELL,186.4,1300,,244616.63,242247.3
2023-03-30,BUY,181.62,1300,236176.83,8439.8,
2023-04-11,SELL,163.76,1300,,221263.93,212824.13
2023-05-08,BUY,154.63,1400,216546.94,4716.99,
