date,action,price,shares,cost,cash_after,revenue
2018-02-08,BUY,44.44,2200,97797.33,2202.67,
2019-01-30,SELL,31.0,2200,,70382.21,68179.54
2020-02-04,BUY,89.92,700,62962.88,7419.33,
2020-04-29,SELL,110.92,700,,85040.03,77620.71
2021-07-27,BUY,211.35,400,84565.36,474.67,
2021-12-09,SELL,231.2,400,,92926.93,92452.26
2022-02-08,BUY,170.2,500,85125.53,7801.4,
2022-06-28,SELL,179.85,500,,97699.42,89898.02
2022-09-06,BUY,143.76,600,86281.88,11417.54,
2022-12-07,SELL,156.91,600,,105535.3,94117.76
2023-04-13,BUY,161.11,600,96695.0,8840.3,
2024-03-15,SELL,139.5,600,,92515.19,83674.89
2024-06-12,BUY,124.91,700,87463.23,5051.96,
2024-09-27,SELL,139.42,700,,102616.68,97564.72
