date,action,price,shares,cost,cash_after,revenue
2018-03-15,BUY,18.04,5500,99249.77,750.23,
2018-03-16,SELL,17.65,5500,,97796.11,97045.88
2018-03-23,BUY,17.83,5400,96310.88,1485.23,
2018-03-28,SELL,16.22,5400,,89046.95,87561.72
2018-04-16,BUY,15.63,5600,87554.26,1492.69,
2018-04-18,SELL,15.66,5600,,89162.38,87669.69
2018-05-03,BUY,16.82,5200,87490.24,1672.14,
2018-05-28,SELL,16.32,5200,,86510.68,84838.54
2018-07-18,BUY,13.65,6300,86020.8,489.89,
2018-08-17,SELL,14.88,6300,,94205.76,93715.88
2018-08-29,BUY,17.12,5500,94188.25,17.52,
2018-09-13,SELL,16.12,5500,,88650.92,88633.4
2018-09-21,BUY,18.66,4700,87728.31,922.61,
2018-10-18,SELL,16.26,4700,,77321.68,76399.07
2018-10-26,BUY,17.96,4300,77251.17,70.51,
2018-10-30,SELL,16.71,4300,,71901.96,71831.44
2018-11-06,BUY,18.23,3900,71118.33,783.63,
2018-11-14,SELL,16.52,3900,,65192.3,64408.67
2018-12-05,BUY,17.73,3600,63847.15,1345.15,
2018-12-13,SELL,17.11,3600,,62922.67,61577.52
2019-01-16,BUY,15.21,4100,62379.71,542.96,
2019-03-14,SELL,19.81,4100,,81739.6,81196.63
2019-03-19,BUY,20.39,4000,81584.47,155.13,
2019-04-29,SELL,23.69,4000,,94886.7,94731.57
2019-04-30,BUY,22.81,4100,93549.06,1337.64,
2019-05-06,SELL,22.27,4100,,92617.25,91279.61
2019-05-29,BUY,22.61,4000,90467.13,2150.12,
2019-07-09,SELL,23.65,4000,,96721.74,94571.62
2019-07-19,BUY,25.67,3700,95007.49,1714.25,
2019-08-07,SELL,23.83,3700,,89858.8,88144.55
2019-08-26,BUY,24.3,3600,87506.24,2352.55,
2019-08-29,SELL,23.23,3600,,85955.46,83602.91
2019-09-10,BUY,24.3,3500,85075.51,879.95,
2019-09-19,SELL,23.81,3500,,84189.95,83310.0
2019-10-10,BUY,24.41,3400,83018.9,1171.05,
2019-11-01,SELL,25.9,3400,,89204.63,88033.58
2019-11-05,BUY,26.96,3300,88994.69,209.94,
2019-11-25,SELL,25.88,3300,,85588.32,85378.38
2019-12-16,BUY,26.58,3200,85081.52,506.8,
2020-01-21,SELL,27.09,3200,,87168.8,86661.99
2020-04-08,BUY,21.52,4000,86105.82,1062.97,
2020-05-26,SELL,22.73,4000,,91955.7,90892.72
2020-06-03,BUY,24.52,3700,90751.22,1204.48,
2020-06-17,SELL,23.5,3700,,88128.39,86923.92
2020-07-06,BUY,29.71,2900,86184.85,1943.55,
2020-07-27,SELL,24.75,2900,,73697.01,71753.47
2020-08-07,BUY,27.11,2700,73218.96,478.05,
2020-09-02,SELL,27.7,2700,,75245.62,74767.56
2020-09-16,BUY,28.56,2600,74278.28,967.34,
2020-09-29,SELL,26.81,2600,,70652.43,69685.09
2020-10-16,BUY,30.28,2300,69664.89,987.54,
2020-12-11,SELL,33.18,2300,,77278.64,76291.11
2021-01-07,BUY,36.4,2100,76462.93,815.71,
2021-03-02,SELL,40.05,2100,,84895.48,84079.77
2021-03-18,BUY,44.74,1800,80556.16,4339.32,
2021-03-30,SELL,42.06,1800,,80024.61,75685.29
2021-04-22,BUY,43.11,1800,77621.28,2403.33,
2021-06-15,SELL,45.3,1800,,83918.86,81515.54
2021-08-12,BUY,42.44,1900,80660.19,3258.67,
2021-09-01,SELL,42.55,1900,,84079.42,80820.75
2021-09-07,BUY,44.57,1800,80250.07,3829.35,
2021-09-23,SELL,40.6,1800,,76887.43,73058.08
2021-10-13,BUY,44.79,1700,76165.84,721.59,
2021-11-05,SELL,43.32,1700,,74343.49,73621.91
2021-12-09,BUY,44.89,1600,71845.55,2497.95,
2021-12-20,SELL,42.45,1600,,70397.57,67899.62
2022-01-21,BUY,43.58,1600,69748.92,648.65,
2022-02-25,SELL,41.57,1600,,67140.7,66492.05
2022-03-30,BUY,37.99,1700,64602.37,2538.32,
2022-04-19,SELL,33.86,1700,,60083.05,57544.73
2022-05-24,BUY,30.66,1900,58271.48,1811.58,
2022-07-11,SELL,31.2,1900,,61073.79,59262.22
2022-09-01,BUY,27.78,2100,58355.5,2718.29,
2022-09-09,SELL,27.78,2100,,61038.79,58320.5
2022-09-14,BUY,28.14,2100,59111.73,1927.06,
2022-09-27,SELL,27.18,2100,,58987.94,57060.88
2022-11-11,BUY,24.52,2400,58865.65,122.28,
2023-02-08,SELL,31.77,2400,,76347.41,76225.13
2023-04-19,BUY,28.78,2600,74850.45,1496.96,
2023-04-27,SELL,25.91,2600,,68842.75,67345.79
2023-05-10,BUY,27.68,2400,66451.93,2390.82,
2023-05-17,SELL,27.78,2400,,69042.82,66652.0
2023-05-18,BUY,27.73,2400,66571.97,2470.86,
2023-05-24,SELL,26.21,2400,,65355.98,62885.13
2023-06-12,BUY,27.01,2400,64843.45,512.54,
2023-06-28,SELL,26.33,2400,,63685.58,63173.04
2023-07-17,BUY,26.67,2300,61359.4,2326.18,
2023-08-16,SELL,26.99,2300,,64384.55,62058.38
2023-09-06,BUY,28.38,2200,62454.73,1929.82,
2023-09-28,SELL,27.99,2200,,63489.35,61559.53
2023-10-09,BUY,27.6,2200,60738.22,2751.13,
2023-10-10,SELL,27.61,2200,,63474.91,60723.78
2024-01-02,BUY,22.6,2800,63298.98,175.93,
2024-03-12,SELL,26.97,2800,,75669.27,75493.35
2024-03-28,BUY,27.2,2700,73462.03,2207.24,
2024-05-29,SELL,29.59,2700,,82076.27,79869.03
2024-06-26,BUY,29.08,2800,81448.43,627.85,
2024-07-29,SELL,29.44,2800,,83035.12,82407.27
2024-08-20,BUY,30.47,2700,82293.68,741.44,
2024-09-04,SELL,28.35,2700,,77263.47,76522.04
2024-09-26,BUY,32.37,2300,74473.34,2790.14,
