date,action,price,shares,cost,cash_after,revenue
2018-01-04,BUY,17.17,5800,99615.88,384.12,
2018-02-08,SELL,18.8,5800,,109391.41,109007.29
2018-03-14,BUY,17.91,6100,109283.78,107.64,
2018-03-15,SELL,18.04,6100,,110118.62,110010.99
2018-03-20,BUY,18.51,5900,109241.76,876.86,
2018-03-27,SELL,16.24,5900,,96664.12,95787.26
2018-04-11,BUY,18.01,5300,95481.64,1182.48,
2018-04-18,SELL,15.66,5300,,84155.58,82973.1
2018-04-26,BUY,16.32,5100,83256.97,898.61,
2018-05-25,SELL,16.73,5100,,86196.01,85297.4
2018-06-20,BUY,16.03,5300,84984.49,1211.53,
2018-06-26,SELL,14.42,5300,,77614.6,76403.07
2018-07-11,BUY,14.12,5400,76270.87,1343.72,
2018-08-15,SELL,15.06,5400,,82643.33,81299.6
2018-08-28,BUY,16.98,4800,81528.45,1114.88,
2018-09-07,SELL,16.53,4800,,80435.07,79320.2
2018-09-20,BUY,16.87,4700,79312.79,1122.29,
2018-10-12,SELL,17.52,4700,,83441.58,82319.3
2018-11-05,BUY,18.36,4500,82644.79,796.8,
2018-11-12,SELL,16.92,4500,,76913.96,76117.16
2018-12-04,BUY,17.93,4200,75328.59,1585.36,
2018-12-13,SELL,17.11,4200,,73425.8,71840.44
2018-12-14,BUY,16.69,4300,71788.53,1637.27,
2018-12-17,SELL,16.65,4300,,73210.8,71573.52
2019-01-10,BUY,14.21,5100,72492.74,718.05,
2019-03-08,SELL,19.14,5100,,98302.77,97584.72
2019-04-01,BUY,22.44,4300,96520.95,1781.82,
2019-04-23,SELL,23.59,4300,,103188.39,101406.57
2019-05-29,BUY,22.61,4500,101775.52,1412.87,
2019-07-01,SELL,25.26,4500,,115048.77,113635.9
2019-07-22,BUY,25.67,4400,112981.88,2066.88,
2019-08-05,SELL,24.51,4400,,109878.53,107811.65
2019-08-26,BUY,24.3,4500,109382.8,495.72,
2019-08-28,SELL,23.8,4500,,107563.59,107067.87
2019-09-06,BUY,25.19,4200,105829.74,1733.86,
2019-09-20,SELL,23.81,4200,,101705.85,99972.0
2019-09-30,BUY,24.05,4200,101040.3,665.55,
2019-10-30,SELL,24.71,4200,,104416.42,103750.87
2019-11-05,BUY,26.96,3800,102478.73,1937.68,
2019-11-15,SELL,26.13,3800,,101201.89,99264.21
2019-12-16,BUY,26.58,3800,101034.3,167.59,
2020-01-16,SELL,27.26,3800,,103724.52,103556.92
2020-02-21,BUY,24.94,4100,102284.68,1439.84,
2020-02-26,SELL,24.13,4100,,100343.16,98903.32
2020-03-06,BUY,24.71,4000,98869.65,1473.51,
2020-03-16,SELL,20.97,4000,,85328.34,83854.84
2020-03-27,BUY,22.02,3800,83701.1,1627.24,
2020-05-19,SELL,23.57,3800,,91166.37,89539.13
2020-06-03,BUY,24.52,3700,90751.22,415.16,
2020-06-15,SELL,22.87,3700,,85008.77,84593.61
2020-07-03,BUY,26.04,3200,83353.0,1655.77,
2020-07-17,SELL,26.58,3200,,86686.25,85030.48
2020-08-07,BUY,27.11,3100,84066.21,2620.04,
2020-08-26,SELL,27.73,3100,,88557.25,85937.21
2020-09-18,BUY,29.49,3000,88496.54,60.71,
2020-09-24,SELL,27.56,3000,,82715.91,82655.2
2020-10-15,BUY,29.51,2800,82652.79,63.12,
2020-11-27,SELL,36.35,2800,,101812.59,101749.47
2020-11-30,BUY,34.7,2900,100660.19,1152.4,
2020-12-01,SELL,36.7,2900,,107550.47,106398.07
2020-12-03,BUY,36.99,2900,107303.18,247.29,
2020-12-07,SELL,34.92,2900,,101484.91,101237.62
2021-01-07,BUY,36.4,2700,98309.48,3175.42,
2021-02-01,SELL,42.9,2700,,118970.67,115795.25
2021-02-08,BUY,45.76,2500,114434.32,4536.35,
2021-02-23,SELL,46.05,2500,,119626.82,115090.46
2021-03-17,BUY,43.9,2700,118565.56,1061.26,
2021-03-26,SELL,42.1,2700,,114697.16,113635.9
2021-04-21,BUY,43.39,2600,112847.84,1849.31,
2021-06-07,SELL,47.5,2600,,125312.26,123462.95
2021-07-23,BUY,41.81,2900,121285.37,4026.89,
2021-07-27,SELL,37.93,2900,,113990.89,109964.0
2021-08-09,BUY,40.82,2700,110247.06,3743.82,
2021-08-31,SELL,40.72,2700,,113654.84,109911.02
2021-09-03,BUY,43.76,2500,109432.82,4222.02,
2021-09-17,SELL,43.01,2500,,111714.76,107492.74
2021-10-12,BUY,44.85,2400,107672.29,4042.47,
2021-11-03,SELL,43.46,2400,,108315.18,104272.71
2021-12-07,BUY,43.6,2400,104671.39,3643.79,
2021-12-20,SELL,42.45,2400,,105493.22,101849.44
2022-01-12,BUY,41.52,2500,103831.14,1662.08,
2022-02-24,SELL,41.78,2500,,106080.75,104418.67
2022-03-23,BUY,37.52,2800,105087.52,993.23,
2022-04-19,SELL,33.86,2800,,95772.79,94779.56
2022-05-18,BUY,30.26,3100,93834.14,1938.65,
2022-07-08,SELL,31.57,3100,,99776.29,97837.64
2022-08-15,BUY,27.01,3600,97265.17,2511.12,
2022-09-27,SELL,27.18,3600,,100329.76,97818.65
2022-11-07,BUY,22.44,4400,98765.62,1564.14,
2022-12-21,SELL,29.23,4400,,130137.56,128573.42
2023-01-05,BUY,31.78,4000,127158.14,2979.42,
2023-02-03,SELL,32.58,4000,,133260.33,130280.9
2023-03-06,BUY,30.28,4300,130243.06,3017.26,
2023-03-07,SELL,29.84,4300,,131290.77,128273.51
2023-03-29,BUY,27.4,4700,128818.63,2472.14,
2023-04-28,SELL,26.88,4700,,128770.24,126298.1
2023-05-08,BUY,28.88,4400,127110.12,1660.11,
2023-05-24,SELL,26.21,4400,,116949.52,115289.4
2023-06-08,BUY,27.36,4200,114946.47,2003.04,
2023-06-27,SELL,26.1,4200,,111590.16,109587.11
2023-07-04,BUY,26.79,4100,109871.95,1718.21,
2023-07-07,SELL,25.59,4100,,106605.73,104887.52
2023-07-14,BUY,26.95,3900,105136.53,1469.2,
2023-08-11,SELL,28.17,3900,,111299.24,109830.04
2023-09-05,BUY,28.13,3900,109739.91,1559.33,
2023-09-22,SELL,28.36,3900,,112130.15,110570.82
2023-09-25,BUY,28.02,4000,112113.62,16.52,
2023-09-27,SELL,27.84,4000,,111343.11,111326.59
2023-11-17,BUY,25.35,4300,109037.7,2305.41,
2023-11-28,SELL,24.18,4300,,106248.22,103942.81
2023-12-20,BUY,22.08,4800,106015.8,232.43,
2024-03-01,SELL,26.96,4800,,129601.6,129369.18
2024-03-28,BUY,27.2,4700,127878.35,1723.25,
2024-04-15,SELL,27.85,4700,,132578.98,130855.73
2024-04-16,BUY,27.77,4700,130558.16,2020.83,
2024-05-24,SELL,29.76,4700,,141850.87,139830.04
2024-06-25,BUY,29.32,4800,140778.22,1072.64,
2024-07-26,SELL,29.36,4800,,141958.37,140885.72
2024-08-19,BUY,30.41,4600,139927.97,2030.4,
2024-09-02,SELL,28.92,4600,,135022.49,132992.09
2024-09-24,BUY,30.12,4400,132567.76,2454.73,
2024-10-28,SELL,35.51,4400,,158651.86,156197.13
2024-12-09,BUY,34.69,4500,156151.83,2500.03,
