行业,股票,策略,总收益率,买入持有收益率,年化收益率,年化波动率,夏普比率,最大回撤,卡玛比率,胜率(%),交易次数
新能源,300750,macd,1123.01,4054.49,48.56,45.89,1.032,-62.27,0.78,42.19,64
新能源,002594,ma,690.33,389.2,35.88,36.52,0.953,-36.31,0.988,44.64,56
新能源,300750,ma,482.96,4054.49,32.14,41.93,0.811,-43.5,0.739,38.0,50
新能源,002594,macd,426.98,389.2,27.96,35.14,0.805,-36.35,0.769,37.5,64
半导体,688981,bollinger,125.12,14.11,20.76,25.94,0.758,-31.58,0.657,58.33,14
医药,300760,bollinger,138.74,508.58,15.63,27.13,0.579,-45.36,0.345,80.0,18
医药,300760,rsi,113.96,508.58,13.53,21.77,0.576,-32.95,0.411,100.0,4
新能源,002594,rsi,151.29,389.2,14.64,28.26,0.536,-50.32,0.291,75.0,7
白酒,000858,ma,151.08,148.53,14.63,32.44,0.506,-42.54,0.344,36.73,49
白酒,000858,macd,153.26,148.53,14.78,34.79,0.497,-53.11,0.278,46.77,62
半导体,603986,macd,148.32,103.28,14.85,40.41,0.481,-51.4,0.289,39.34,61
白酒,000858,bollinger,127.44,148.53,12.96,31.47,0.463,-45.83,0.283,57.69,20
新能源,300750,rsi,106.59,4054.49,12.15,27.52,0.462,-40.35,0.301,77.78,6
银行,600036,bollinger,110.61,111.73,11.68,26.73,0.453,-33.77,0.346,75.68,20
医药,300760,macd,102.09,508.58,12.46,31.05,0.45,-57.94,0.215,39.44,71
半导体,603986,rsi,111.55,103.28,12.09,32.84,0.434,-55.63,0.217,85.0,7
半导体,688981,rsi,59.37,14.11,11.44,30.24,0.423,-44.08,0.26,70.0,4
白酒,600519,bollinger,87.98,229.35,9.81,22.32,0.418,-41.28,0.238,71.11,14
白酒,600519,rsi,70.11,229.35,8.2,15.87,0.418,-35.21,0.233,56.25,3
白酒,600519,ma,76.62,229.35,8.8,22.22,0.378,-33.38,0.264,35.19,54
银行,600036,rsi,73.6,111.73,8.53,27.71,0.343,-54.57,0.156,85.71,6
医药,600276,ma,70.06,55.76,8.19,24.15,0.343,-36.32,0.226,35.29,51
白酒,600519,macd,64.31,229.35,7.64,20.52,0.339,-24.81,0.308,38.89,64
半导体,688981,ma,39.31,14.11,8.01,29.95,0.319,-32.68,0.245,43.33,30
银行,600036,macd,65.81,111.73,7.79,28.27,0.317,-44.98,0.173,49.18,61
医药,300760,ma,52.01,508.58,7.24,29.84,0.299,-54.81,0.132,46.81,47
半导体,603986,bollinger,57.65,103.28,7.18,32.77,0.298,-45.98,0.156,73.91,20
半导体,688981,macd,28.21,14.11,5.95,31.42,0.255,-45.61,0.13,33.33,39
医药,600276,bollinger,47.03,55.76,5.88,24.95,0.254,-58.67,0.1,76.47,21
医药,600276,macd,28.9,55.76,3.84,25.74,0.178,-61.33,0.063,46.15,65
半导体,603986,ma,1.43,103.28,0.22,36.91,0.121,-66.38,0.003,39.58,48
白酒,000858,rsi,2.62,148.53,0.38,34.32,0.109,-62.62,0.006,76.67,7
银行,000001,macd,6.59,1.37,0.95,27.19,0.077,-53.3,0.018,38.1,63
医药,600276,rsi,-0.22,55.76,-0.03,23.88,0.013,-63.11,-0.001,46.15,5
银行,000001,rsi,-11.21,1.37,-1.75,25.15,-0.045,-53.95,-0.032,66.67,6
银行,600036,ma,-17.52,111.73,-2.82,26.76,-0.067,-46.35,-0.061,42.31,52
新能源,002594,bollinger,-25.74,389.2,-4.32,27.3,-0.117,-57.26,-0.075,50.0,13
银行,000001,bollinger,-29.95,1.37,-5.14,24.68,-0.192,-52.75,-0.097,53.33,18
新能源,300750,bollinger,-37.24,4054.49,-7.1,29.2,-0.192,-63.48,-0.112,54.05,12
银行,000001,ma,-47.89,1.37,-9.21,25.74,-0.345,-56.64,-0.163,30.19,53
