行业,股票,策略,总收益率,买入持有收益率,年化收益率,年化波动率,夏普比率,最大回撤,卡玛比率,胜率(%),交易次数
新能源,300750,macd,1123.01,4054.49,48.56,45.89,1.032,-62.27,0.78,42.19,64
新能源,002594,ma,690.33,389.2,35.88,36.52,0.953,-36.31,0.988,44.64,56
新能源,300750,ma,482.96,4054.49,32.14,41.93,0.811,-43.5,0.739,38.0,50
新能源,002594,macd,426.98,389.2,27.96,35.14,0.805,-36.35,0.769,37.5,64
半导体,688981,bollinger,125.12,14.11,20.76,25.94,0.758,-31.58,0.657,58.33,14
医药,300760,bollinger,138.74,508.58,15.63,27.13,0.579,-45.36,0.345,80.0,18
医药,300760,rsi,113.96,508.58,13.53,21.77,0.576,-32.95,0.411,100.0,4
新能源,002594,rsi,151.29,389.2,14.64,28.26,0.536,-50.32,0.291,75.0,7
白酒,000858,ma,151.08,148.53,14.63,32.44,0.506,-42.54,0.344,36.73,49
白酒,000858,macd,153.26,148.53,14.78,34.79,0.497,-53.11,0.278,46.77,62
半导体,603986,macd,148.32,103.28,14.85,40.41,0.481,-51.4,0.289,39.34,61
白酒,000858,bollinger,127.44,148.53,12.96,31.47,0.463,-45.83,0.283,57.69,20
新能源,300750,rsi,106.59,4054.49,12.15,27.52,0.462,-40.35,0.301,77.78,6
银行,600036,bollinger,110.61,111.73,11.68,26.73,0.453,-33.77,0.346,75.68,20
医药,300760,macd,102.09,508.58,12.46,31.05,0.45,-57.94,0.215,39.44,71
半导体,603986,rsi,111.55,103.28,12.09,32.84,0.434,-55.63,0.217,85.0,7
半导体,688981,rsi,59.37,14.11,11.44,30.24,0.423,-44.08,0.26,70.0,4
白酒,600519,bollinger,87.98,229.35,9.81,22.32,0.418,-41.28,0.238,71.11,14
白酒,600519,rsi,70.11,229.35,8.2,15.87,0.418,-35.21,0.233,56.25,3
白酒,600519,ma,76.62,229.35,8.8,22.22,0.378,-33.38,0.264,35.19,54
