date,action,price,shares,cost,cash_after,revenue
2018-12-20,BUY,71.53,1300,93016.9,6983.1,
2019-01-22,SELL,79.36,1300,,110120.15,103137.05
2019-04-16,BUY,96.97,1100,106699.0,3421.15,
2019-04-30,SELL,111.71,1100,,126265.29,122844.14
2019-10-10,BUY,156.9,800,125557.66,707.63,
2019-11-05,SELL,164.82,800,,132524.08,131816.44
2019-12-23,BUY,146.42,900,131817.53,706.54,
2020-01-10,SELL,159.37,900,,144096.51,143389.97
2020-03-20,BUY,207.87,600,124759.42,19337.1,
2020-05-22,SELL,247.5,600,,167792.55,148455.45
2020-08-12,BUY,285.87,500,142977.88,24814.67,
2020-09-02,SELL,320.67,500,,185101.56,160286.9
2021-02-25,BUY,393.87,400,157595.26,27506.3,
2021-03-31,SELL,372.48,400,,176453.6,148947.3
2021-06-17,BUY,432.47,400,173039.9,3413.71,
2021-09-22,SELL,355.82,400,,145699.01,142285.3
2021-12-03,BUY,328.87,400,131587.46,14111.54,
2022-04-18,SELL,311.71,400,,138758.14,124646.59
2022-05-27,BUY,274.29,500,137186.14,1571.99,
2022-06-08,SELL,292.06,500,,147558.19,145986.19
2022-07-20,BUY,281.26,500,140672.19,6886.0,
2022-09-15,SELL,281.66,500,,147673.75,140787.75
2022-09-21,BUY,243.36,600,146059.8,1613.94,
2022-10-17,SELL,309.36,600,,187174.26,185560.32
2022-11-11,BUY,281.67,600,169052.7,18121.56,
2023-01-11,SELL,304.08,600,,200514.82,182393.27
2023-03-10,BUY,289.12,600,173524.04,26990.78,
2023-07-31,SELL,279.86,600,,194856.41,167865.63
2023-08-07,BUY,252.67,700,176922.06,17934.35,
2023-10-31,SELL,269.88,700,,206793.67,188859.33
2024-01-09,BUY,269.92,700,189000.68,17792.99,
2024-02-07,SELL,289.16,700,,220144.26,202351.28
2024-03-29,BUY,269.62,800,215760.71,4383.56,
2024-04-30,SELL,292.75,800,,238513.3,234129.74
2024-06-03,BUY,286.26,800,229076.7,9436.59,
2024-09-30,SELL,286.72,800,,238743.78,229307.19
