date,action,price,shares,cost,cash_after,revenue
2018-10-18,BUY,51.84,1900,98525.55,1474.45,
2018-11-16,SELL,81.52,1900,,156315.98,154841.53
2018-12-06,BUY,86.2,1800,155206.55,1109.44,
2018-12-07,SELL,85.01,1800,,154081.53,152972.09
2019-01-16,BUY,76.56,2000,153165.94,915.6,
2019-01-31,SELL,77.6,2000,,156069.04,155153.44
2019-02-11,BUY,82.87,1800,149210.75,6858.29,
2019-03-20,SELL,103.0,1800,,192202.67,185344.38
2019-04-26,BUY,106.68,1800,192081.61,121.06,
2019-05-21,SELL,113.65,1800,,204629.69,204508.63
2019-05-29,BUY,117.38,1700,199605.86,5023.82,
2019-06-18,SELL,125.17,1700,,217748.99,212725.16
2019-06-21,BUY,129.38,1600,207070.1,10678.88,
2019-06-26,SELL,130.12,1600,,218808.43,208129.54
2019-06-28,BUY,135.07,1600,216176.83,2631.59,
2019-07-09,SELL,134.07,1600,,217079.24,214447.65
2019-08-14,BUY,136.95,1500,205486.63,11592.61,
2019-09-11,SELL,152.07,1500,,239629.18,228036.57
2019-09-27,BUY,161.71,1400,226461.92,13167.26,
2019-10-08,SELL,155.36,1400,,230606.01,217438.75
2019-11-04,BUY,159.97,1400,224025.19,6580.82,
2019-11-25,SELL,154.37,1400,,222633.99,216053.16
2020-01-02,BUY,152.2,1400,213143.92,9490.06,
2020-03-02,SELL,214.84,1400,,310175.83,300685.77
2020-03-04,BUY,228.88,1300,297633.26,12542.57,
2020-03-11,SELL,220.87,1300,,299587.43,287044.86
2020-03-30,BUY,230.56,1200,276755.0,22832.43,
2020-04-07,SELL,236.59,1200,,306655.26,283822.83
2020-04-08,BUY,238.85,1200,286705.99,19949.27,
2020-04-15,SELL,236.43,1200,,303580.15,283630.89
2020-04-23,BUY,242.39,1200,290955.26,12624.89,
2020-04-27,SELL,244.86,1200,,306368.74,293743.85
2020-04-28,BUY,245.97,1200,295252.55,11116.2,
2020-04-30,SELL,228.17,1200,,284838.05,273721.86
2020-05-22,BUY,247.5,1100,272331.67,12506.38,
2020-06-05,SELL,247.2,1100,,284344.8,271838.42
2020-06-17,BUY,257.9,1100,283775.11,569.7,
2020-07-07,SELL,273.01,1100,,300790.6,300220.91
2020-07-10,BUY,292.04,1000,292127.61,8662.99,
2020-07-28,SELL,313.36,1000,,321928.98,313265.99
2020-08-31,BUY,315.82,1000,315914.75,6014.24,
2020-09-10,SELL,291.48,1000,,297406.79,291392.56
2020-09-16,BUY,301.48,900,271413.4,25993.39,
2020-09-17,SELL,290.92,900,,287742.84,261749.45
2020-09-24,BUY,304.28,900,273934.16,13808.69,
2020-10-26,SELL,336.37,900,,316450.87,302642.18
2020-10-30,BUY,360.17,800,288222.44,28228.43,
2020-11-10,SELL,328.36,800,,290837.62,262609.19
2020-12-07,BUY,318.99,900,287177.13,3660.49,
2021-01-15,SELL,415.35,900,,377363.35,373702.86
2021-01-25,BUY,461.37,800,369206.73,8156.62,
2021-01-28,SELL,416.82,800,,341512.58,333355.96
2021-02-09,BUY,464.98,700,325583.65,15928.94,
2021-02-19,SELL,435.01,700,,320344.59,304415.65
2021-03-24,BUY,349.37,900,314527.33,5817.26,
2021-05-12,SELL,424.25,900,,387527.71,381710.45
2021-05-13,BUY,426.13,900,383632.06,3895.65,
2021-06-04,SELL,460.07,900,,417834.44,413938.78
2021-07-01,BUY,471.86,800,377601.25,40233.19,
2021-07-05,SELL,429.85,800,,384010.02,343776.84
2021-09-01,BUY,306.87,1200,368354.47,15655.55,
2021-10-21,SELL,339.92,1200,,423437.18,407781.63
2021-11-04,BUY,363.87,1100,400377.08,23060.1,
2021-11-11,SELL,347.11,1100,,404766.56,381706.45
2021-11-18,BUY,351.35,1100,386600.95,18165.61,
2021-11-19,SELL,353.97,1100,,407415.8,389250.19
2021-12-13,BUY,343.01,1100,377424.19,29991.61,
2022-01-05,SELL,321.07,1100,,383062.66,353071.05
2022-01-21,BUY,318.09,1200,381822.51,1240.14,
2022-02-07,SELL,304.44,1200,,366458.54,365218.4
2022-02-18,BUY,294.87,1200,353950.15,12508.39,
2022-03-09,SELL,262.83,1200,,327809.77,315301.38
2022-03-18,BUY,292.99,1100,322385.69,5424.09,
2022-03-29,SELL,264.29,1100,,296055.87,290631.78
2022-04-01,BUY,281.83,1000,281914.55,14141.32,
2022-04-22,SELL,277.87,1000,,291927.96,277786.64
2022-04-29,BUY,288.37,1000,288456.51,3471.45,
