date,action,price,shares,cost,cash_after,revenue
2018-02-28,BUY,31.03,3200,99325.79,674.21,
2018-04-12,SELL,36.93,3200,,118814.76,118140.55
2018-04-26,BUY,36.06,3200,115426.62,3388.14,
2018-05-07,SELL,36.39,3200,,119801.21,116413.07
2018-05-10,BUY,39.54,3000,118655.59,1145.62,
2018-06-21,SELL,44.08,3000,,133345.95,132200.33
2018-06-26,BUY,44.98,2900,130481.13,2864.82,
2018-06-29,SELL,42.67,2900,,126570.69,123705.88
2018-08-16,BUY,37.73,3300,124546.35,2024.34,
2018-08-21,SELL,37.6,3300,,126067.12,124042.78
2018-08-28,BUY,39.64,3100,122920.87,3146.25,
2018-09-05,SELL,36.32,3100,,115704.47,112558.22
2018-10-08,BUY,32.62,3500,114204.25,1500.22,
2018-10-10,SELL,32.47,3500,,115111.13,113610.91
2018-11-02,BUY,37.95,3000,113884.16,1226.97,
2018-11-23,SELL,35.07,3000,,106405.41,105178.44
2018-12-04,BUY,37.57,2800,105227.56,1177.85,
2018-12-11,SELL,33.62,2800,,95285.61,94107.76
2019-01-11,BUY,31.21,3000,93658.09,1627.52,
2019-04-24,SELL,42.6,3000,,129389.18,127761.66
2019-05-07,BUY,44.88,2800,125701.7,3687.48,
2019-05-15,SELL,44.38,2800,,127914.2,124226.72
2019-05-17,BUY,42.54,3000,127658.29,255.92,
2019-05-20,SELL,40.79,3000,,122589.21,122333.29
2019-06-18,BUY,42.42,2800,118811.63,3777.57,
2019-07-18,SELL,44.8,2800,,129179.94,125402.37
2019-07-31,BUY,45.44,2800,127270.17,1909.77,
2019-08-06,SELL,43.91,2800,,124820.89,122911.12
2019-08-14,BUY,46.66,2600,121352.39,3468.49,
2019-11-27,SELL,61.21,2600,,162566.75,159098.26
2020-01-03,BUY,58.64,2700,158375.5,4191.25,
2020-01-10,SELL,59.72,2700,,165386.88,161195.63
2020-01-13,BUY,59.95,2700,161913.56,3473.32,
2020-02-26,SELL,59.15,2700,,163130.41,159657.09
2020-03-10,BUY,61.87,2600,160910.26,2220.15,
2020-03-16,SELL,55.93,2600,,147594.52,145374.37
2020-03-30,BUY,61.94,2300,142504.74,5089.78,
2020-04-30,SELL,63.54,2300,,151187.94,146098.16
2020-05-19,BUY,66.97,2200,147378.2,3809.74,
2020-06-01,SELL,65.96,2200,,148878.21,145068.47
2020-06-08,BUY,66.03,2200,145309.58,3568.63,
2020-07-30,SELL,78.26,2200,,175688.98,172120.35
2020-08-25,BUY,77.44,2200,170419.11,5269.87,
2020-09-10,SELL,74.73,2200,,169626.54,164356.68
2020-10-13,BUY,77.2,2100,162168.64,7457.91,
2020-10-26,SELL,73.43,2100,,161614.65,154156.74
2020-12-04,BUY,75.21,2100,157988.38,3626.27,
2021-01-19,SELL,86.57,2100,,185368.73,181742.46
2021-02-19,BUY,86.75,2100,182229.65,3139.07,
2021-02-23,SELL,83.03,2100,,177449.76,174310.69
2021-04-02,BUY,76.35,2300,175657.68,1792.08,
2021-04-15,SELL,67.6,2300,,157225.44,155433.36
2021-05-17,BUY,70.26,2200,154618.37,2607.07,
2021-06-08,SELL,68.26,2200,,152734.02,150126.95
2021-06-15,BUY,71.16,2100,149480.83,3253.19,
2021-06-23,SELL,70.43,2100,,151111.81,147858.63
2021-09-24,BUY,49.08,3000,147284.17,3827.64,
2021-10-28,SELL,48.04,3000,,147904.41,144076.76
2021-11-10,BUY,53.01,2700,143169.94,4734.47,
2021-12-01,SELL,49.78,2700,,139100.15,134365.68
2022-01-06,BUY,49.39,2800,138333.49,766.66,
2022-01-14,SELL,45.93,2800,,129332.08,128565.42
2022-05-26,BUY,28.32,4500,127478.23,1853.85,
2022-05-30,SELL,28.99,4500,,132269.71,130415.86
2022-06-02,BUY,29.12,4500,131079.31,1190.4,
2022-07-27,SELL,35.67,4500,,161657.24,160466.85
2022-08-11,BUY,36.87,4300,158588.56,3068.68,
2022-08-22,SELL,34.48,4300,,151288.2,148219.52
2022-09-16,BUY,34.27,4400,150833.24,454.96,
2022-09-23,SELL,32.37,4400,,142840.24,142385.27
2022-10-11,BUY,33.54,4200,140910.26,1929.98,
2022-11-16,SELL,39.94,4200,,169627.65,167697.68
2022-11-21,BUY,40.23,4200,169016.69,610.96,
2022-11-22,SELL,39.36,4200,,165873.37,165262.41
2022-12-06,BUY,39.32,4200,165193.54,679.82,
2022-12-09,SELL,38.26,4200,,161323.62,160643.79
2023-01-05,BUY,38.99,4100,159906.96,1416.66,
2023-03-01,SELL,43.21,4100,,178524.51,177107.85
2023-03-28,BUY,42.44,4200,178301.47,223.04,
2023-05-11,SELL,45.87,4200,,192819.24,192596.2
2023-05-22,BUY,48.14,4000,192617.77,201.47,
2023-06-02,SELL,45.47,4000,,182026.91,181825.44
2023-06-21,BUY,46.0,3900,179453.82,2573.09,
2023-07-20,SELL,45.56,3900,,180203.78,177630.69
2023-07-31,BUY,44.18,4000,176773.02,3430.77,
2023-08-01,SELL,42.98,4000,,175299.19,171868.42
2023-08-30,BUY,41.75,4100,171226.35,4072.84,
2023-10-20,SELL,42.32,4100,,177532.79,173459.95
2023-10-31,BUY,47.54,3700,175950.77,1582.02,
2023-11-23,SELL,46.77,3700,,174579.1,172997.09
2024-02-20,BUY,41.46,4200,174184.24,394.86,
2024-04-09,SELL,45.14,4200,,189925.99,189531.12
2024-04-30,BUY,45.76,4100,187672.28,2253.7,
2024-05-21,SELL,43.4,4100,,180140.32,177886.62
2024-07-15,BUY,40.58,4400,178605.57,1534.75,
2024-09-24,SELL,43.46,4400,,192701.39,191166.63
2024-09-30,BUY,52.1,3600,187616.27,5085.12,
2024-10-29,SELL,47.98,3600,,177761.3,172676.18
2024-11-12,BUY,49.09,3600,176777.02,984.28,
2024-11-19,SELL,47.23,3600,,170961.27,169976.99
2024-11-22,BUY,48.07,3500,168295.47,2665.8,
2024-12-12,SELL,47.84,3500,,170055.57,167389.77
