date,action,price,shares,cost,cash_after,revenue
2018-05-31,BUY,52.57,1900,99912.96,87.04,
2018-07-16,SELL,56.96,1900,,108278.57,108191.53
2018-08-09,BUY,51.73,2000,103491.04,4787.53,
2018-11-19,SELL,38.08,2000,,80924.68,76137.15
2018-12-18,BUY,32.19,2500,80499.14,425.54,
2019-01-25,SELL,32.81,2500,,82425.93,82000.39
2019-04-30,BUY,39.58,2000,79183.75,3242.18,
2019-06-24,SELL,40.54,2000,,84297.86,81055.68
2019-08-07,BUY,41.99,2000,84005.19,292.67,
2019-08-22,SELL,54.78,2000,,109819.8,109527.13
2020-08-13,BUY,148.03,700,103652.09,6167.71,
2020-10-13,SELL,130.41,700,,97427.33,91259.61
2020-12-23,BUY,136.5,700,95578.66,1848.66,
2021-01-14,SELL,154.31,700,,109833.26,107984.59
2021-02-01,BUY,129.27,800,103447.02,6386.23,
2021-03-02,SELL,143.77,800,,121367.73,114981.5
2021-03-16,BUY,108.67,1100,119572.86,1794.86,
2021-04-29,SELL,136.01,1100,,151360.98,149566.12
2021-09-03,BUY,145.85,1000,145893.76,5467.23,
2021-10-27,SELL,155.54,1000,,160960.56,155493.34
2021-11-25,BUY,154.31,1000,154356.29,6604.27,
2021-12-06,SELL,170.6,1000,,177153.09,170548.82
2022-01-06,BUY,160.94,1100,177087.11,65.98,
2022-03-18,SELL,159.52,1100,,175485.34,175419.36
2022-03-30,BUY,144.57,1200,173536.05,1949.29,
2022-05-23,SELL,146.27,1200,,177420.64,175471.34
2022-09-19,BUY,103.59,1700,176155.83,1264.81,
2022-11-07,SELL,89.15,1700,,152774.34,151509.53
2022-12-26,BUY,100.25,1500,150420.11,2354.23,
2023-01-17,SELL,119.05,1500,,180875.65,178521.43
2023-02-20,BUY,108.56,1600,173748.11,7127.55,
2023-03-24,SELL,116.94,1600,,194175.41,187047.87
2023-04-27,BUY,111.52,1700,189640.88,4534.54,
2023-07-14,SELL,117.0,1700,,203374.87,198840.33
2023-08-07,BUY,104.99,1900,199540.84,3834.03,
2023-10-10,SELL,103.51,1900,,200444.02,196610.0
2023-10-24,BUY,97.34,2000,194738.4,5705.62,
2024-05-08,SELL,81.65,2000,,168956.63,163251.01
2024-07-24,BUY,85.96,1900,163373.0,5583.63,
2024-09-27,SELL,80.06,1900,,157652.0,152068.37
