date,action,price,shares,cost,cash_after,revenue
2018-06-22,BUY,44.14,2200,97137.13,2862.87,
2019-02-26,SELL,44.75,2200,,101283.33,98420.46
2019-05-07,BUY,35.68,2800,99933.97,1349.36,
2019-07-17,SELL,48.65,2800,,137528.5,136179.13
2020-08-27,BUY,135.36,1000,135400.61,2127.89,
2020-11-09,SELL,158.36,1000,,160440.38,158312.49
2021-03-16,BUY,108.67,1400,152183.64,8256.74,
2021-06-21,SELL,156.86,1400,,227794.86,219538.12
2022-04-12,BUY,125.07,1800,225193.54,2601.32,
2022-11-18,SELL,102.79,1800,,187567.81,184966.49
2023-08-16,BUY,94.16,1900,178957.67,8610.14,
2024-06-18,SELL,93.26,1900,,185750.98,177140.84
2024-08-08,BUY,77.23,2400,185407.61,343.38,
2024-09-30,SELL,88.03,2400,,211552.0,211208.62
