date,action,price,shares,cost,cash_after,revenue
2020-10-16,BUY,58.21,1700,98986.69,1013.31,
2020-11-18,SELL,61.36,1700,,105294.02,104280.71
2020-12-14,BUY,60.62,1700,103084.92,2209.1,
2020-12-17,SELL,56.01,1700,,97397.54,95188.43
2021-01-07,BUY,59.23,1600,94796.43,2601.11,
2021-01-26,SELL,59.78,1600,,98220.41,95619.31
2021-02-24,BUY,57.39,1700,97592.27,628.14,
2021-03-15,SELL,55.74,1700,,95357.72,94729.57
2021-04-06,BUY,58.31,1600,93323.99,2033.73,
2021-04-23,SELL,55.17,1600,,90279.25,88245.52
2021-05-19,BUY,54.79,1600,87690.3,2588.95,
2021-05-24,SELL,55.13,1600,,90770.48,88181.54
2021-05-28,BUY,55.78,1600,89274.77,1495.71,
2021-07-09,SELL,56.91,1600,,92524.39,91028.68
2021-07-29,BUY,62.27,1400,87204.15,5320.24,
2021-08-17,SELL,57.09,1400,,85222.26,79902.02
2021-10-27,BUY,54.12,1500,81204.35,4017.91,
2021-11-02,SELL,55.99,1500,,87977.71,83959.8
2021-11-03,BUY,56.99,1500,85510.65,2467.07,
2021-11-19,SELL,54.71,1500,,84507.45,82040.38
2021-12-14,BUY,55.01,1500,82539.75,1967.69,
2021-12-20,SELL,52.87,1500,,81248.9,79281.21
2022-02-16,BUY,51.48,1500,77243.17,4005.74,
2022-03-04,SELL,50.88,1500,,80302.84,76297.1
2022-05-16,BUY,42.4,1800,76342.9,3959.94,
2022-07-05,SELL,44.3,1800,,83676.02,79716.08
2022-08-08,BUY,43.0,1900,81724.51,1951.51,
2022-08-22,SELL,41.09,1900,,79999.09,78047.58
2022-10-21,BUY,38.31,2000,76642.99,3356.1,
2022-11-24,SELL,40.68,2000,,84691.7,81335.59
2022-12-08,BUY,41.9,2000,83825.14,866.56,
2022-12-26,SELL,41.43,2000,,83701.7,82835.14
2023-01-10,BUY,41.56,2000,83144.94,556.76,
2023-01-12,SELL,40.82,2000,,82172.27,81615.51
2023-01-18,BUY,42.0,1900,79823.94,2348.33,
2023-02-20,SELL,42.26,1900,,82618.24,80269.91
2023-03-07,BUY,42.73,1900,81211.36,1406.89,
2023-05-05,SELL,58.8,1900,,113093.37,111686.48
2023-06-06,BUY,53.99,2000,108012.39,5080.98,
2023-06-27,SELL,51.39,2000,,107830.14,102749.17
2023-08-01,BUY,50.72,2100,106543.95,1286.19,
2023-08-11,SELL,46.92,2100,,99788.63,98502.44
2023-08-30,BUY,52.94,1800,95320.59,4468.04,
2023-09-18,SELL,49.63,1800,,93775.24,89307.2
2023-10-12,BUY,53.69,1700,91300.38,2474.86,
2023-11-14,SELL,54.65,1700,,95351.99,92877.13
2023-12-18,BUY,53.74,1700,91385.41,3966.58,
2023-12-28,SELL,53.13,1700,,94260.48,90293.9
2024-02-23,BUY,44.98,2000,89986.99,4273.5,
2024-03-25,SELL,44.56,2000,,93366.76,89093.26
2024-05-07,BUY,42.71,2100,89717.91,3648.85,
2024-05-22,SELL,42.27,2100,,92389.22,88740.37
2024-05-31,BUY,44.85,2000,89726.91,2662.31,
2024-06-28,SELL,46.1,2000,,94834.65,92172.34
2024-07-11,BUY,48.27,1900,91740.51,3094.14,
2024-07-31,SELL,49.1,1900,,96356.15,93262.01
2024-08-16,BUY,49.46,1900,94002.19,2353.96,
2024-08-26,SELL,47.35,1900,,92291.97,89938.01
2024-09-30,BUY,59.99,1500,90012.0,2279.97,
2024-11-21,SELL,93.5,1500,,142487.9,140207.93
2024-12-24,BUY,96.86,1400,135644.68,6843.22,
