date,action,price,shares,cost,cash_after,revenue
2020-08-04,BUY,81.08,1200,97325.19,2674.81,
2020-08-13,SELL,75.18,1200,,92863.75,90188.94
2020-09-21,BUY,56.46,1600,90363.1,2500.65,
2020-09-30,SELL,49.65,1600,,81916.81,79416.17
2020-10-12,BUY,57.41,1400,80398.11,1518.7,
2020-11-17,SELL,60.93,1400,,86795.11,85276.41
2020-12-11,BUY,60.99,1400,85411.62,1383.5,
2020-12-16,SELL,55.2,1400,,78640.31,77256.82
2021-01-04,BUY,58.26,1300,75760.72,2879.59,
2021-01-22,SELL,57.15,1300,,77152.3,74272.71
2021-02-22,BUY,57.48,1300,74746.42,2405.88,
2021-03-11,SELL,57.79,1300,,77510.35,75104.46
2021-03-15,BUY,55.74,1300,72483.74,5026.61,
2021-03-16,SELL,54.88,1300,,76349.2,71322.6
2021-04-02,BUY,58.77,1200,70545.16,5804.05,
2021-04-22,SELL,55.3,1200,,72144.14,66340.09
2021-05-14,BUY,55.86,1200,67052.11,5092.03,
2021-05-24,SELL,55.13,1200,,71228.18,66136.15
2021-05-25,BUY,55.56,1200,66692.0,4536.18,
2021-06-16,SELL,55.05,1200,,70576.36,66040.18
2021-06-18,BUY,58.57,1200,70305.09,271.28,
2021-07-07,SELL,57.51,1200,,69262.57,68991.3
2021-07-28,BUY,59.26,1100,65205.56,4057.02,
2021-08-13,SELL,58.38,1100,,68255.75,64198.73
2021-09-14,BUY,57.22,1100,62960.88,5294.87,
2021-09-17,SELL,55.65,1100,,66491.51,61196.64
2021-10-11,BUY,55.41,1100,60969.29,5522.22,
2021-11-17,SELL,55.26,1100,,66289.98,60767.76
2021-12-13,BUY,56.01,1100,61629.48,4660.5,
2021-12-17,SELL,53.49,1100,,63481.85,58821.35
2022-01-05,BUY,52.88,1200,63475.04,6.81,
2022-01-17,SELL,51.49,1200,,61776.28,61769.46
2022-02-10,BUY,51.2,1200,61458.43,317.84,
2022-03-08,SELL,49.28,1200,,59436.1,59118.26
2022-05-10,BUY,40.88,1400,57249.17,2186.93,
2022-06-23,SELL,44.5,1400,,64468.24,62281.31
2022-08-05,BUY,44.34,1400,62094.62,2373.62,
2022-08-22,SELL,41.09,1400,,59882.36,57508.74
2022-09-09,BUY,40.2,1400,56296.88,3585.48,
2022-09-20,SELL,38.7,1400,,57749.23,54163.75
2022-10-18,BUY,38.1,1500,57167.14,582.08,
2022-11-15,SELL,42.79,1500,,64747.82,64165.74
2022-11-16,BUY,42.48,1500,63739.12,1008.71,
2022-11-22,SELL,41.0,1500,,62490.26,61481.55
2022-12-08,BUY,41.9,1400,58677.6,3812.66,
2022-12-22,SELL,41.07,1400,,61293.41,57480.75
2023-01-18,BUY,42.0,1400,58817.64,2475.77,
2023-02-16,SELL,41.98,1400,,61230.14,58754.37
2023-03-06,BUY,43.4,1400,60778.23,451.91,
2023-03-30,SELL,49.08,1400,,69143.3,68691.39
2023-04-04,BUY,56.66,1200,68012.4,1130.9,
2023-04-26,SELL,58.16,1200,,70901.96,69771.06
2023-06-02,BUY,53.72,1300,69856.95,1045.01,
2023-06-26,SELL,50.97,1300,,67286.13,66241.12
2023-07-21,BUY,49.0,1300,63719.11,3567.02,
2023-08-11,SELL,46.92,1300,,64544.73,60977.7
2023-08-23,BUY,47.89,1300,62275.68,2269.05,
2023-09-14,SELL,50.77,1300,,68250.25,65981.2
2023-10-12,BUY,53.69,1200,64447.33,3802.92,
2023-11-10,SELL,54.39,1200,,69051.34,65248.42
2023-12-14,BUY,53.1,1300,69050.71,0.63,
2023-12-27,SELL,51.91,1300,,67463.39,67462.76
2024-01-26,BUY,46.5,1400,65119.53,2343.86,
2024-01-31,SELL,43.29,1400,,62931.67,60587.82
2024-02-07,BUY,42.9,1400,60078.02,2853.66,
2024-03-25,SELL,44.56,1400,,65218.94,62365.28
2024-04-25,BUY,41.34,1500,62028.6,3190.34,
2024-05-27,SELL,43.13,1500,,67865.93,64675.59
2024-05-28,BUY,43.11,1500,64684.4,3181.53,
2024-06-26,SELL,46.47,1500,,72865.62,69684.09
2024-07-11,BUY,48.27,1500,72426.72,438.9,
2024-07-26,SELL,49.75,1500,,75041.51,74602.61
2024-08-16,BUY,49.46,1500,74212.26,829.25,
2024-08-22,SELL,46.54,1500,,70618.31,69789.06
2024-09-26,BUY,46.36,1500,69560.86,1057.45,
2024-10-31,SELL,86.93,1500,,131413.33,130355.88
2024-11-12,BUY,101.11,1200,121368.4,10044.93,
2024-11-13,SELL,99.14,1200,,128977.24,118932.31
2024-12-23,BUY,95.18,1300,123771.12,5206.12,
