date,action,price,shares,cost,cash_after,revenue
2018-02-02,BUY,17.68,5600,99037.7,962.3,
2018-09-26,SELL,13.18,5600,,74748.16,73785.86
2018-12-27,BUY,14.04,5300,74434.32,313.83,
2019-02-14,SELL,15.0,5300,,79789.98,79476.15
2019-08-07,BUY,14.09,5600,78927.67,862.31,
2019-12-18,SELL,12.06,5600,,68378.05,67515.74
2021-02-24,BUY,66.84,1000,66860.05,1518.0,
2021-06-09,SELL,64.51,1000,,66008.64,64490.65
2021-07-19,BUY,71.83,900,64666.39,1342.25,
2021-08-03,SELL,90.54,900,,82803.8,81461.55
2021-09-02,BUY,86.23,900,77630.28,5173.52,
2021-10-18,SELL,92.53,900,,88425.54,83252.02
2021-12-17,BUY,90.22,900,81222.36,7203.18,
2022-05-06,SELL,77.92,900,,77310.14,70106.96
2022-07-13,BUY,100.52,700,70385.11,6925.03,
2022-11-07,SELL,90.22,700,,70060.09,63135.05
2023-03-13,BUY,77.43,900,69707.91,352.18,
2023-05-11,SELL,85.18,900,,76991.18,76639.0
2023-05-29,BUY,78.91,900,71040.31,5950.88,
2023-06-16,SELL,87.62,900,,84785.22,78834.34
2023-08-15,BUY,79.16,1000,79183.75,5601.47,
2024-03-13,SELL,66.43,1000,,72011.54,66410.07
2024-08-05,BUY,75.74,900,68186.45,3825.09,
2024-09-02,SELL,79.04,900,,74939.75,71114.66
2024-11-18,BUY,94.9,700,66449.93,8489.82,
2024-12-25,SELL,93.98,700,,74256.09,65766.26
