date,action,price,shares,cost,cash_after,revenue
2018-01-04,BUY,18.73,5300,99298.78,701.22,
2018-01-05,SELL,18.5,5300,,98721.8,98020.59
2018-01-15,BUY,18.76,5200,97581.27,1140.54,
2018-01-17,SELL,18.29,5200,,96220.01,95079.47
2018-01-24,BUY,19.21,5000,96078.82,141.19,
2018-01-30,SELL,18.19,5000,,91063.91,90922.71
2018-02-23,BUY,17.98,5000,89926.97,1136.94,
2018-03-21,SELL,17.91,5000,,90660.07,89523.14
2018-04-26,BUY,14.55,6200,90237.06,423.01,
2018-05-03,SELL,13.58,6200,,84593.75,84170.74
2018-05-09,BUY,14.21,5900,83864.15,729.6,
2018-06-01,SELL,14.01,5900,,83363.8,82634.2
2018-07-02,BUY,12.37,6700,82903.86,459.94,
2018-07-18,SELL,11.48,6700,,77352.86,76892.93
2018-07-25,BUY,11.73,6500,76267.87,1084.99,
2018-08-02,SELL,10.41,6500,,68729.69,67644.7
2018-08-13,BUY,11.43,6000,68600.57,129.11,
2018-09-06,SELL,11.29,6000,,67848.79,67719.68
2018-09-18,BUY,12.12,5500,66680.0,1168.79,
2018-10-12,SELL,12.56,5500,,70228.07,69059.28
2018-10-23,BUY,13.24,5300,70193.05,35.02,
2018-10-31,SELL,12.69,5300,,67271.84,67236.82
2018-11-12,BUY,14.29,4700,67183.15,88.69,
2018-12-07,SELL,16.05,4700,,75501.06,75412.37
2019-01-25,BUY,13.48,5500,74162.24,1338.82,
2019-02-01,SELL,13.18,5500,,73807.07,72468.25
2019-02-11,BUY,13.82,5300,73267.97,539.1,
2019-03-11,SELL,14.55,5300,,77630.97,77091.87
2019-03-19,BUY,15.75,4900,77198.15,432.81,
2019-03-29,SELL,14.92,4900,,73518.88,73086.07
2019-04-18,BUY,16.86,4300,72519.75,999.13,
2019-04-29,SELL,15.64,4300,,68230.96,67231.82
2019-06-04,BUY,13.26,5100,67646.29,584.67,
2019-08-05,SELL,14.62,5100,,75124.3,74539.63
2019-09-06,BUY,13.99,5300,74169.24,955.05,
2019-09-26,SELL,13.32,5300,,71529.88,70574.82
2019-10-30,BUY,11.81,6000,70881.26,648.62,
2019-10-31,SELL,11.44,6000,,69268.03,68619.41
2019-11-12,BUY,11.86,5800,68808.64,459.39,
2019-11-19,SELL,11.74,5800,,68530.96,68071.57
2019-11-20,BUY,11.52,5900,67988.39,542.57,
2020-02-13,SELL,16.34,5900,,96919.65,96377.08
2020-02-21,BUY,19.66,4900,96362.9,556.75,
2020-03-05,SELL,19.43,4900,,95735.19,95178.44
2020-04-01,BUY,16.2,5900,95608.67,126.51,
2020-05-15,SELL,16.48,5900,,97329.34,97202.83
2020-06-02,BUY,17.49,5500,96223.86,1105.49,
2020-07-21,SELL,26.52,5500,,146921.73,145816.24
2020-08-31,BUY,25.51,5700,145450.62,1471.11,
2020-11-13,SELL,55.81,5700,,319492.67,318021.56
2020-12-22,BUY,58.51,5400,316048.79,3443.88,
2021-01-20,SELL,71.18,5400,,387700.57,384256.69
2021-01-25,BUY,83.84,4600,385779.7,1920.87,
2021-02-02,SELL,86.34,4600,,398965.72,397044.85
2021-02-03,BUY,84.84,4700,398867.62,98.1,
2021-02-08,SELL,80.58,4700,,378710.48,378612.38
2021-03-29,BUY,53.21,7100,377904.34,806.14,
2021-05-07,SELL,45.16,7100,,321345.95,320539.81
2021-05-18,BUY,50.08,6400,320608.15,737.8,
2021-07-02,SELL,76.86,6400,,492494.23,491756.43
2021-08-02,BUY,94.24,5200,490195.01,2299.21,
2021-08-18,SELL,91.78,5200,,479412.04,477112.82
2021-10-13,BUY,87.63,5400,473343.96,6068.08,
2021-11-11,SELL,101.22,5400,,552492.1,546424.02
2022-01-18,BUY,85.92,6400,550052.97,2439.13,
2022-02-07,SELL,78.69,6400,,505904.05,503464.92
2022-02-10,BUY,77.27,6500,502405.68,3498.37,
2022-02-14,SELL,74.55,6500,,487928.0,484429.63
2022-02-16,BUY,77.43,6200,480210.02,7717.98,
2022-03-08,SELL,69.29,6200,,437187.1,429469.12
2022-03-21,BUY,79.02,5500,434740.38,2446.72,
2022-04-25,SELL,73.06,5500,,404156.17,401709.45
2022-05-05,BUY,80.16,5000,400920.24,3235.93,
2022-05-11,SELL,81.46,5000,,410413.74,407177.81
2022-05-12,BUY,81.92,5000,409722.88,690.86,
2022-06-22,SELL,110.52,5000,,553125.08,552434.22
2022-08-19,BUY,103.73,5300,549933.93,3191.15,
2022-08-25,SELL,100.46,5300,,535469.42,532278.27
2022-09-27,BUY,88.58,6000,531639.44,3829.97,
2022-10-10,SELL,81.0,6000,,489684.17,485854.2
2022-10-13,BUY,83.32,5800,483400.98,6283.2,
2022-10-31,SELL,79.49,5800,,467186.88,460903.69
2022-11-02,BUY,86.45,5400,466970.05,216.83,
2022-11-18,SELL,82.16,5400,,443747.74,443530.9
2022-12-02,BUY,84.62,5200,440156.01,3591.73,
2022-12-22,SELL,83.66,5200,,438493.22,434901.49
2023-01-09,BUY,85.06,5100,433936.14,4557.08,
2023-02-13,SELL,91.37,5100,,470404.28,465847.2
2023-03-27,BUY,78.48,5900,463170.91,7233.37,
2023-05-26,SELL,79.59,5900,,476673.5,469440.13
2023-06-07,BUY,82.78,5700,471987.55,4685.94,
2023-06-08,SELL,82.26,5700,,473427.28,468741.34
2023-06-13,BUY,84.34,5600,472445.69,981.59,
2023-06-28,SELL,84.01,5600,,471296.45,470314.86
2023-07-05,BUY,86.26,5400,465943.74,5352.71,
2023-07-11,SELL,87.04,5400,,475227.7,469875.0
2023-07-12,BUY,85.8,5500,472041.57,3186.13,
2023-07-13,SELL,86.54,5500,,479013.34,475827.21
2023-07-14,BUY,85.4,5600,478383.47,629.87,
2023-07-17,SELL,85.43,5600,,478894.35,478264.48
2023-08-01,BUY,87.14,5400,470697.17,8197.18,
2023-08-09,SELL,85.28,5400,,468571.03,460373.85
2023-08-31,BUY,80.78,5700,460584.13,7986.9,
2023-09-22,SELL,79.33,5700,,460032.24,452045.35
2023-09-26,BUY,77.14,5900,455262.54,4769.7,
2023-09-27,SELL,76.92,5900,,458461.55,453691.85
2023-10-13,BUY,77.76,5800,451143.3,7318.25,
2023-10-17,SELL,76.98,5800,,453668.31,446350.05
2023-10-19,BUY,77.84,5800,451607.44,2060.87,
2023-10-25,SELL,76.78,5800,,447251.27,445190.4
2023-10-27,BUY,78.29,5700,446386.88,864.39,
2023-11-03,SELL,77.19,5700,,440715.4,439851.01
2023-11-06,BUY,78.61,5600,440348.06,367.33,
2023-11-21,SELL,75.71,5600,,424216.14,423848.81
2023-12-22,BUY,61.73,6800,419889.93,4326.21,
2024-01-30,SELL,54.97,6800,,378010.07,373683.86
2024-02-19,BUY,58.81,6400,376496.92,1513.16,
2024-03-29,SELL,65.33,6400,,419499.72,417986.57
2024-04-30,BUY,70.48,5900,415956.75,3542.97,
2024-05-17,SELL,70.84,5900,,421373.59,417830.61
2024-06-03,BUY,76.68,5400,414196.22,7177.36,
2024-06-27,SELL,80.81,5400,,443420.45,436243.09
2024-07-15,BUY,84.88,5200,441508.41,1912.04,
2024-07-24,SELL,80.97,5200,,422829.73,420917.69
2024-08-21,BUY,79.01,5300,418878.63,3951.1,
2024-10-18,SELL,98.78,5300,,527328.04,523376.94
2024-12-11,BUY,92.27,5700,526096.78,1231.26,
2024-12-17,SELL,92.94,5700,,530830.33,529599.07
2024-12-18,BUY,93.56,5600,524093.18,6737.15,
