date,action,price,shares,cost,cash_after,revenue
2018-02-07,BUY,16.68,5900,98441.52,1558.48,
2018-11-21,SELL,15.42,5900,,92509.18,90950.71
2019-10-31,BUY,11.44,8000,91547.46,961.73,
2020-01-14,SELL,14.97,8000,,120685.8,119724.07
2020-03-24,BUY,13.73,8700,119486.84,1198.96,
2020-06-23,SELL,20.83,8700,,182365.6,181166.63
2021-03-09,BUY,54.07,3300,178484.53,3881.07,
2021-06-09,SELL,64.51,3300,,216700.2,212819.14
2022-01-06,BUY,80.57,2600,209544.84,7155.36,
2022-05-23,SELL,95.63,2600,,255718.77,248563.41
2022-09-05,BUY,86.85,2900,251940.56,3778.21,
2023-02-02,SELL,98.14,2900,,288298.83,284520.62
2023-03-13,BUY,77.43,3700,286576.95,1721.88,
2024-03-15,SELL,67.47,3700,,251285.99,249564.11
