date,action,price,shares,cost,cash_after,revenue
2018-08-31,BUY,22.51,4400,99073.71,926.29,
2018-09-03,SELL,21.27,4400,,94486.21,93559.92
2018-09-21,BUY,24.56,3800,93356.0,1130.21,
2018-10-15,SELL,24.54,3800,,94354.24,93224.02
2018-10-19,BUY,27.11,3400,92201.65,2152.58,
2018-11-26,SELL,27.58,3400,,95896.45,93743.87
2018-12-05,BUY,31.33,3000,94018.2,1878.26,
2018-12-24,SELL,29.47,3000,,90261.73,88383.48
2019-01-30,BUY,28.46,3100,88252.47,2009.26,
2019-03-22,SELL,34.22,3100,,108059.44,106050.18
2019-06-17,BUY,26.1,4100,107042.1,1017.34,
2019-06-26,SELL,25.0,4100,,103486.59,102469.25
2019-06-28,BUY,24.39,4200,102468.73,1017.86,
2019-08-08,SELL,26.8,4200,,113544.09,112526.23
2019-08-22,BUY,28.2,4000,112833.84,710.25,
2019-08-29,SELL,25.69,4000,,103439.42,102729.17
2019-09-11,BUY,29.41,3500,102965.88,473.54,
2019-09-26,SELL,25.9,3500,,91096.34,90622.81
2019-10-29,BUY,24.69,3600,88910.67,2185.68,
2019-10-31,SELL,24.38,3600,,89927.35,87741.67
2019-11-07,BUY,28.04,3200,89754.92,172.43,
2020-03-02,SELL,63.98,3200,,204847.01,204674.58
2020-04-09,BUY,52.99,3800,201422.41,3424.6,
2020-07-31,SELL,104.2,3800,,399265.81,395841.21
2020-08-04,BUY,103.38,3800,392961.85,6303.96,
2020-08-13,SELL,95.21,3800,,367993.42,361689.46
2020-08-31,BUY,100.96,3600,363565.04,4428.38,
2020-09-10,SELL,89.08,3600,,325020.18,320591.79
2020-09-24,BUY,92.34,3500,323286.96,1733.22,
2020-09-25,SELL,92.71,3500,,326120.87,324387.65
2020-09-30,BUY,102.55,3100,318000.37,8120.5,
2020-11-20,SELL,126.37,3100,,399749.98,391629.48
2020-12-09,BUY,134.1,2900,389006.67,10743.31,
2021-02-01,SELL,180.95,2900,,535340.89,524597.57
2021-02-09,BUY,214.21,2400,514258.23,21082.65,
2021-02-25,SELL,173.6,2400,,437597.66,416515.01
2021-04-02,BUY,170.99,2500,427603.24,9994.42,
2021-05-18,SELL,191.38,2500,,488300.88,478306.47
2021-05-21,BUY,194.98,2500,487596.23,704.65,
2021-07-28,SELL,278.15,2500,,695871.04,695166.39
2021-08-05,BUY,295.9,2300,680774.17,15096.87,
2021-08-11,SELL,273.82,2300,,644693.93,629597.06
2021-08-30,BUY,267.15,2400,641352.35,3341.58,
2021-09-01,SELL,257.96,2400,,622259.85,618918.27
2021-09-10,BUY,265.4,2300,610603.13,11656.73,
2021-09-24,SELL,264.23,2300,,619203.41,607546.68
2021-10-08,BUY,283.13,2100,594751.37,24452.03,
2021-11-19,SELL,341.46,2100,,741302.91,716850.88
2021-11-24,BUY,352.46,2100,740388.05,914.87,
2021-12-10,SELL,341.99,2100,,718878.41,717963.55
2022-01-19,BUY,303.12,2300,697385.15,21493.26,
2022-02-11,SELL,258.68,2300,,616278.77,594785.51
2022-03-22,BUY,271.46,2200,597391.16,18887.61,
2022-04-12,SELL,248.68,2200,,565819.48,546931.87
2022-05-18,BUY,219.24,2500,548264.43,17555.05,
2022-05-30,SELL,209.68,2500,,541597.79,524042.74
2022-06-02,BUY,229.13,2300,527157.1,14440.69,
2022-07-18,SELL,292.94,2300,,688000.56,673559.87
2022-07-19,BUY,277.91,2400,667184.1,20816.46,
2022-07-22,SELL,282.01,2400,,697437.42,676620.95
2022-08-18,BUY,289.13,2400,694120.17,3317.24,
2022-08-31,SELL,254.79,2400,,614629.79,611312.55
2022-10-17,BUY,225.35,2700,608627.53,6002.26,
2022-10-25,SELL,209.99,2700,,572805.17,566802.91
2022-12-06,BUY,209.06,2700,564631.34,8173.83,
