date,action,price,shares,cost,cash_after,revenue
2018-03-13,BUY,47.03,2100,98792.63,1207.37,
2018-03-23,SELL,43.79,2100,,93138.78,91931.41
2018-04-24,BUY,44.85,2000,89726.91,3411.87,
2018-05-30,SELL,49.22,2000,,101822.34,98410.47
2018-06-04,BUY,54.22,1800,97625.28,4197.06,
2018-06-26,SELL,53.9,1800,,101187.96,96990.89
2018-07-19,BUY,47.1,2100,98939.67,2248.28,
2018-07-24,SELL,48.75,2100,,104592.57,102344.29
2018-07-25,BUY,48.72,2100,102342.69,2249.88,
2018-08-02,SELL,41.64,2100,,89667.64,87417.77
2018-09-20,BUY,38.11,2300,87679.3,1988.35,
2018-10-12,SELL,33.93,2300,,80003.94,78015.59
2018-11-22,BUY,24.71,3200,79095.72,908.22,
2018-11-28,SELL,23.96,3200,,77557.21,76649.0
2018-12-04,BUY,28.67,2700,77432.22,124.99,
2018-12-24,SELL,24.68,2700,,66741.0,66616.01
2019-01-17,BUY,25.64,2600,66684.0,57.0,
2019-05-07,SELL,69.68,2600,,181170.65,181113.65
2019-05-16,BUY,83.7,2100,175822.73,5347.92,
2019-06-05,SELL,72.77,2100,,158119.07,152771.15
2019-06-13,BUY,82.22,1900,156264.87,1854.21,
2019-07-23,SELL,95.47,1900,,183192.79,181338.58
2019-08-15,BUY,101.4,1800,182574.76,618.04,
2019-09-17,SELL,106.96,1800,,193088.28,192470.24
2019-11-01,BUY,109.12,1700,185559.65,7528.63,
2019-11-25,SELL,104.12,1700,,184479.52,176950.9
2019-12-20,BUY,104.52,1700,177737.31,6742.22,
2019-12-26,SELL,103.57,1700,,182758.4,176016.18
2019-12-31,BUY,108.43,1600,173540.05,9218.35,
2020-02-04,SELL,89.92,1600,,153047.19,143828.84
2020-02-24,BUY,102.52,1400,143571.06,9476.13,
2020-03-04,SELL,100.69,1400,,150399.84,140923.71
2020-03-06,BUY,105.49,1400,147730.31,2669.54,
2020-03-17,SELL,87.78,1400,,125524.67,122855.13
2020-04-08,BUY,100.7,1200,120876.25,4648.42,
2020-08-12,SELL,184.09,1200,,225490.14,220841.73
2020-08-19,BUY,199.82,1100,219867.94,5622.2,
2020-09-10,SELL,200.82,1100,,226457.93,220835.73
2020-10-13,BUY,219.89,1000,219955.97,6501.97,
2020-12-01,SELL,235.61,1000,,242041.28,235539.32
2020-12-09,BUY,247.34,900,222672.78,19368.5,
2021-01-19,SELL,259.12,900,,252506.54,233138.04
2021-01-28,BUY,263.62,900,237329.18,15177.36,
2021-01-29,SELL,268.76,900,,256988.8,241811.43
2021-02-05,BUY,297.38,800,237975.37,19013.43,
2021-03-01,SELL,266.64,800,,232261.43,213248.01
2021-03-30,BUY,251.08,900,226039.79,6221.64,
2021-04-14,SELL,241.4,900,,223416.46,217194.82
2021-04-26,BUY,252.62,800,202156.63,21259.83,
2021-06-11,SELL,279.19,800,,244544.83,223284.99
2021-07-02,BUY,263.65,900,237356.19,7188.64,
2021-07-05,SELL,258.72,900,,239966.79,232778.15
2021-09-30,BUY,199.59,1200,239579.85,386.94,
2021-10-28,SELL,195.49,1200,,234904.56,234517.62
2021-11-22,BUY,196.17,1100,215851.74,19052.82,
2021-12-24,SELL,222.14,1100,,263333.52,244280.69
2022-04-15,BUY,150.1,1700,255246.55,8086.97,
2022-04-28,SELL,146.05,1700,,256297.48,248210.51
2022-05-27,BUY,138.15,1800,248744.6,7552.88,
2022-05-30,SELL,146.38,1800,,270957.83,263404.95
2022-05-31,BUY,151.6,1700,257797.32,13160.52,
2022-07-19,SELL,172.13,1700,,305693.73,292533.21
2022-09-28,BUY,152.83,1900,290464.11,15229.62,
2022-10-13,SELL,136.8,1900,,275071.64,259842.02
2022-11-11,BUY,133.25,2000,266579.95,8491.69,
2022-11-29,SELL,138.28,2000,,284968.72,276477.03
2022-11-30,BUY,140.09,2000,280264.05,4704.67,
2023-02-13,SELL,195.63,2000,,395847.29,391142.62
2023-02-14,BUY,192.47,2000,385055.48,10791.81,
2023-02-27,SELL,188.04,2000,,386758.99,375967.18
2023-04-04,BUY,179.38,2100,376811.01,9947.98,
2023-04-11,SELL,163.76,2100,,353740.81,343792.83
2023-05-23,BUY,157.23,2200,346009.77,7731.04,
2023-05-30,SELL,148.4,2200,,334113.09,326382.06
2023-06-15,BUY,165.23,2000,330559.14,3553.95,
2023-06-30,SELL,150.58,2000,,304623.61,301069.65
2023-07-18,BUY,155.41,1900,295367.58,9256.02,
2023-08-15,SELL,153.51,1900,,300837.52,291581.5
2023-09-08,BUY,148.93,2000,297949.36,2888.16,
2023-09-21,SELL,144.67,2000,,292141.36,289253.2
2023-11-01,BUY,147.01,1900,279402.8,12738.57,
2023-11-22,SELL,140.52,1900,,279646.47,266907.9
2024-01-03,BUY,121.89,2200,268238.45,11408.02,
2024-01-08,SELL,115.11,2200,,264574.05,253166.03
2024-01-30,BUY,114.72,2300,263935.16,638.89,
2024-02-05,SELL,113.58,2300,,261794.52,261155.63
2024-02-08,BUY,120.6,2100,253335.98,8458.54,
2024-04-11,SELL,129.35,2100,,280012.05,271553.51
2024-04-29,BUY,138.76,2000,277603.26,2408.8,
2024-05-29,SELL,136.22,2000,,274767.07,272358.27
2024-07-17,BUY,122.44,2200,269448.81,5318.26,
2024-07-30,SELL,114.97,2200,,258176.38,252858.12
2024-08-13,BUY,117.28,2200,258093.4,82.97,
2024-08-16,SELL,116.69,2200,,256723.96,256640.98
2024-09-27,BUY,139.42,1800,251031.29,5692.67,
2024-11-20,SELL,141.28,1800,,259920.38,254227.71
2024-12-13,BUY,139.72,1800,251571.45,8348.93,
2024-12-20,SELL,134.89,1800,,251078.09,242729.16
