date,action,price,shares,cost,cash_after,revenue
2018-02-13,BUY,18.43,5400,99551.86,448.14,
2018-05-15,SELL,18.08,5400,,98050.85,97602.71
2018-06-26,BUY,14.42,6700,96642.98,1407.87,
2018-07-23,SELL,16.22,6700,,110049.27,108641.4
2018-08-20,BUY,15.32,7100,108804.63,1244.64,
2018-09-25,SELL,17.98,7100,,128864.34,127619.7
2018-10-30,BUY,16.71,7700,128705.6,158.74,
2019-01-28,SELL,17.02,7700,,131173.42,131014.68
2019-05-07,BUY,22.07,5900,130252.06,921.36,
2019-06-12,SELL,23.69,5900,,140650.43,139729.07
2019-08-30,BUY,23.58,5900,139163.74,1486.69,
2019-10-14,SELL,26.13,5900,,155607.44,154120.75
2020-02-03,BUY,24.33,6300,153324.98,2282.46,
2020-04-28,SELL,23.16,6300,,148146.68,145864.23
2020-10-09,BUY,26.68,5500,146784.02,1362.66,
2020-10-19,SELL,30.49,5500,,169007.35,167644.69
2020-12-14,BUY,34.87,4800,167426.21,1581.14,
2021-01-08,SELL,37.1,4800,,179607.72,178026.58
2021-03-03,BUY,43.27,4100,177460.22,2147.49,
2021-04-22,SELL,43.11,4100,,178845.47,176697.97
2021-07-09,BUY,40.4,4400,177813.33,1032.14,
2021-08-19,SELL,43.34,4400,,191670.93,190638.79
2021-11-29,BUY,41.58,4600,191325.38,345.55,
2022-01-21,SELL,43.58,4600,,200753.41,200407.86
2022-03-07,BUY,38.52,5200,200364.09,389.32,
2022-06-28,SELL,33.04,5200,,172145.78,171756.46
2022-07-14,BUY,28.24,6000,169490.83,2654.95,
2022-09-01,SELL,27.78,6000,,169284.94,166630.0
2022-10-11,BUY,24.68,6800,167874.35,1410.6,
2022-11-15,SELL,26.56,6800,,181964.41,180553.82
2023-03-09,BUY,28.86,6300,181872.55,91.87,
2023-04-18,SELL,28.96,6300,,182485.13,182393.27
2023-04-28,BUY,26.88,6700,180150.03,2335.1,
2023-07-26,SELL,28.37,6700,,192357.08,190021.98
2023-10-20,BUY,26.67,7200,192081.61,275.47,
2024-01-08,SELL,23.15,7200,,166905.47,166630.0
2024-09-10,BUY,27.18,6100,165847.74,1057.73,
2024-09-26,SELL,32.37,6100,,198455.49,197397.76
2024-11-25,BUY,33.21,5900,195997.78,2457.71,
2024-12-11,SELL,35.29,5900,,210606.25,208148.54
