date,action,price,shares,cost,cash_after,revenue
2018-06-28,BUY,13.37,7400,98967.68,1032.32,
2019-02-12,SELL,17.68,7400,,131825.07,130792.75
2020-02-04,BUY,24.65,5300,130684.19,1140.88,
2020-07-07,SELL,30.36,5300,,162000.6,160859.73
2021-12-30,BUY,40.26,4000,161088.31,912.29,
2023-01-16,SELL,33.75,4000,,135871.79,134959.5
2023-03-15,BUY,28.16,4800,135208.55,663.24,
2023-07-31,SELL,30.58,4800,,147403.21,146739.96
2023-11-02,BUY,25.7,5700,146533.95,869.26,
2024-01-22,SELL,25.27,5700,,144865.05,143995.79
2024-09-10,BUY,27.18,5300,144097.22,767.83,
2024-09-27,SELL,32.62,5300,,173601.96,172834.13
